,measure_number,beat_number,pid52932-15,pid5667229-06,pid5667249-19,pid5667291-09,pid9048b-01,pid9049-26,pid9050-26,pid9054-26,pid9058-26,pid9059b-01,pid9060-26,pid9061-26,pid9062-26,pid9063b-01,pid9064-07,pid9066-26,pid9070b-01,pid9072b-01,pid9074f-26,pid9075-26,pid9090-13,pid9099b-01,pid9101b-08,pid9104-26,pid9111-26,pid9113-09,pid9114b-10,pid9118b-01,pid9119-06,pid9124-12,pid9129-21,pid9138-26,pid9174-26,pid917520g-09,pid9192-26
0,1,0,0.553991,0.653991,0.893991,0.573991,2.153991,0.693991,0.37399099999999996,0.453991,0.273991,0.7139909999999999,0.013991,0.553991,0.393991,1.073991,0.173991,0.573991,0.273991,0.833991,1.553991,0.353991,1.713991,0.933991,0.393991,0.793991,0.0074540000000000006,0.453991,0.49399099999999996,1.253991,0.333991,0.333991,0.573991,0.353991,0.053991,0.793991,0.513991
1,1,1,1.0670520000000001,1.187052,1.527052,1.307052,3.3070519999999997,1.8270520000000001,0.807052,1.127052,0.747052,1.307052,0.42705200000000004,1.0670520000000001,0.9070520000000001,1.867052,0.807052,0.987052,0.778526,1.407052,2.387052,0.807052,3.107052,1.527052,0.867052,1.487052,0.6470520000000001,1.027052,1.027052,1.747052,0.7870520000000001,0.747052,0.867052,0.847052,0.587052,1.6070520000000001,0.9270520000000001
2,1,2,1.637052,1.7923509999999998,2.023526,2.037052,3.9770519999999996,2.2370520000000003,1.3570520000000001,1.757052,1.737052,1.8570520000000001,0.837052,1.637052,1.477052,2.397052,1.517052,1.757052,1.257052,2.092705,3.157052,1.273526,3.5770519999999997,1.997052,1.457052,2.037052,1.157052,1.657052,1.5970520000000001,2.497052,1.297052,1.497052,1.637052,1.443526,1.239017,2.177052,1.497052
3,2,0,2.175624,2.155624,2.4356240000000002,2.4956240000000003,4.515624,2.635624,1.795624,2.295624,2.355624,2.295624,1.218541,2.0556240000000003,2.135624,2.915624,2.235624,2.175624,1.8356240000000001,2.355624,3.575624,1.6556240000000002,4.015624,2.5156240000000003,1.9756240000000003,2.4756240000000003,1.615624,2.115624,2.0756240000000004,3.0356240000000003,1.6956240000000002,2.0356240000000003,2.0556240000000003,1.8556240000000002,1.615624,2.815624,1.9756240000000003
4,2,1,2.658073,2.464036,2.898073,3.038073,5.198073,3.118073,2.378073,2.778073,2.9780729999999997,2.858073,1.6180729999999999,2.558073,2.698073,3.418073,3.078073,2.638073,2.338073,2.858073,4.058073,2.138073,4.518073,3.112691,2.698073,3.018073,2.038073,2.618073,2.618073,3.5180730000000002,2.138073,2.9780729999999997,2.678073,2.358073,1.958073,3.3580730000000005,2.598073
5,2,2,3.244195,2.844195,3.3641949999999996,3.7441949999999995,5.804195,3.5241949999999997,2.884195,3.244195,3.604195,3.2841949999999995,2.0641950000000002,3.0641950000000002,3.264195,3.9241949999999997,3.5041949999999997,3.1041950000000003,2.844195,3.3241949999999996,4.7041949999999995,2.544195,4.944195,3.5241949999999997,3.164195,3.564195,2.6241950000000003,3.224195,3.164195,4.024195,2.5841950000000002,3.664195,3.204195,2.824195,2.384195,3.9041949999999996,3.044195
6,3,0,3.750317,3.230317,3.810317,4.290317,6.390317,3.890317,3.390317,3.690317,4.230316999999999,3.770635,2.4703169999999997,3.5303169999999997,3.810317,4.390317,3.9903169999999997,3.4903169999999997,3.370317,3.730317,5.210317,2.9503169999999996,5.3503169999999995,3.9303169999999996,3.690317,3.9703169999999997,3.0103169999999997,3.670317,3.670317,4.430317,3.0103169999999997,4.190316999999999,3.710317,3.210317,2.650317,4.510317,3.4503169999999996
7,3,1,4.21195,3.59195,4.27195,4.77195,7.07195,4.31195,3.89195,4.13195,4.83195,4.33195,2.83195,4.01195,4.31195,4.85195,4.49195,4.01195,3.85195,4.17195,5.65195,3.41195,5.87195,4.37195,4.27195,4.45195,3.37195,4.13195,4.19195,4.91195,3.37195,4.63195,4.27195,3.67195,2.97195,4.99195,3.95195
8,3,2,4.709909,4.069909,4.749909,5.349908999999999,7.669909,4.689908999999999,4.429908999999999,4.569909,5.429908999999999,4.749909,3.269909,4.429908999999999,4.769908999999999,5.349908999999999,4.929908999999999,4.529909,4.329909,4.609909,6.149909,3.869909,6.249909,4.829909,4.769908999999999,4.929908999999999,3.9699089999999995,4.629909,4.669909,5.389908999999999,3.7499089999999997,5.149909,4.929908999999999,4.089909,3.3099089999999998,5.5499089999999995,4.449909
9,4,0,5.207868,4.387868,5.169467,5.747868,8.267868,5.018934,4.927868,5.067868,6.027868,5.267868,3.6289339999999997,4.867868,5.367868,5.827868,5.447868,5.047868,4.827868,5.038933999999999,6.6678679999999995,4.187868,6.767867999999999,5.307868,5.227868,5.427868,4.427868,5.027868,5.107868,6.007868,4.187868,5.807868,5.447868,4.507868,3.7494669999999997,6.067868,5.087868
10,4,1,5.7458279999999995,4.725828,5.625828,6.185828,8.905828,5.545828,5.525828,5.547914,6.585828,5.865828,4.005828,5.325828,5.885828,6.345828,6.125828,5.505828,5.325828,5.565828,7.185828,4.665828,7.225828,5.885828,5.827914,5.945828,4.885828,5.445828,5.585828,6.645828,4.625828,6.845828,5.965828,5.005828,3.9858279999999997,6.585828,5.685828
11,4,2,6.416440000000001,5.2564400000000004,6.23644,6.7164399999999995,9.51644,6.01644,6.27644,6.09644,7.316439999999999,6.51644,4.47644,5.8364400000000005,6.51644,6.976439999999999,6.736439999999999,6.13644,5.8364400000000005,6.19644,7.776439999999999,5.13644,7.7164399999999995,6.47644,6.39644,6.43644,5.63644,5.95644,6.07774,7.33644,5.15644,7.53644,6.45644,5.47644,4.443219999999999,7.1364399999999995,6.27644
12,5,0,7.077846000000001,5.837846,6.717846000000001,7.177846000000001,10.125691999999999,6.5578460000000005,7.0978460000000005,6.757846000000001,8.257846,7.217846000000001,4.857846,6.337846,7.0578460000000005,7.637846000000001,7.525691999999999,6.617846000000001,6.4378459999999995,6.917846000000001,8.417846,5.657846,8.337846,7.157846000000001,7.177846000000001,7.077846000000001,6.425692,6.377846,6.457846,8.477846000000001,5.877846,8.757846,7.0178460000000005,6.097846,4.777846,7.817846,6.977846
13,5,1,7.703786999999999,6.263787000000001,7.123786999999999,7.643787,10.803787,7.183787,7.683787,7.643787,9.023786999999999,7.843787,5.263787000000001,6.9037869999999995,7.683787,8.143787,8.463787,7.043786999999999,7.043786999999999,7.603787,9.163787,6.243787,9.063787,7.756892999999999,7.9837869999999995,7.783786999999999,7.283786999999999,6.843787,6.923787,9.156893,6.443787,9.203787,7.563787,6.823786999999999,5.283787,8.263786999999999,7.623786999999999
14,5,2,8.200816,6.780816000000001,7.586939,8.200816,11.440816,7.6208160000000005,8.380816000000001,8.140816000000001,9.700816,8.400816,5.720816,7.420816,8.080816,8.640816000000001,9.160816,7.540816,7.600816,8.080816,9.842704,6.740816000000001,9.540816,8.200816,8.580816,8.380816000000001,7.840816,7.360816000000001,7.340816,9.620816,6.880816,9.820816,8.040816,7.360816000000001,5.720816,8.780816,8.160816
15,6,0,8.666644,7.095548,7.938322,8.606644000000001,12.006644,7.906644,8.846644,8.546644,10.326644,8.826644,6.078322,7.806644,8.566644,9.095547999999999,9.626644,8.026644000000001,8.166644,8.486644,10.306644,7.026644,9.962214999999999,8.626644,8.966644,8.846644,8.198322000000001,7.6783220000000005,7.766644,10.046644,7.258322,10.306644,8.486644,7.786644,6.037329,9.346644,8.606644000000001
