,measure_number,beat_number,pid52932-12,pid5667271-08,pid5667291-10,pid610003b-02,pid9048b-02,pid9049-27,pid9050-27,pid9054-27,pid9058-27,pid9059b-02,pid9060-27,pid9061-27,pid9062b-01,pid9063b-02,pid9064-08,pid9066-27,pid9067-25,pid9070b-10,pid9072b-02,pid9073b-02,pid9074f-27,pid9075-27,pid9090-14,pid9099b-02,pid9100b-22,pid9101b-09,pid9103-14,pid9104-27,pid9111-27,pid9113-10,pid9114-28,pid9116-13,pid9118b-02,pid9119-07,pid9121-06,pid9130-08,pid9138-27,pid9152-14,pid9174-27,pid917520g-10,pid918904-10,pid9192-27
0,1,0,0.71463,1.3177780000000001,0.657778,5.297778,1.6177780000000002,1.497778,0.6177779999999999,0.7377779999999999,0.257778,0.25259299999999996,0.13777799999999998,0.612593,0.693889,1.137778,0.371944,1.037778,0.477778,0.48555600000000004,0.991944,1.257778,1.637778,0.537778,3.717778,0.277778,1.137778,0.5977779999999999,0.437778,0.857778,0.151944,0.337778,0.397778,1.137778,1.9777779999999998,0.13777799999999998,1.3777780000000002,1.137778,0.593889,0.253889,0.317778,0.557778,0.5125930000000001,0.751944
1,1,1,1.523946,2.124789,1.763946,6.223946,2.423946,2.2439459999999998,1.443946,1.8239459999999998,1.003946,0.9239459999999999,1.0839459999999999,1.3239459999999998,1.623946,2.103946,1.123946,2.017891,1.406973,1.403946,1.8239459999999998,2.063946,2.546973,1.243946,4.643946,1.163946,2.2239459999999998,1.3239459999999998,1.503946,2.123946,1.186973,1.423946,1.3439459999999999,2.263946,3.063946,0.8639459999999999,2.383946,2.303946,1.5639459999999998,1.0639459999999998,1.183946,1.3239459999999998,1.3439459999999999,1.663946
2,1,2,2.237324,2.817324,2.357324,6.957324000000001,3.137324,2.757324,2.197324,2.5573240000000004,1.6773240000000003,1.4973239999999999,1.637324,1.997324,2.357324,2.857324,1.7773240000000001,2.5373240000000004,2.077324,2.097324,2.4973240000000003,2.817324,3.137324,1.7973240000000001,5.317324,1.8173240000000002,2.803662,1.9373240000000003,2.177324,2.817324,2.0173240000000003,2.0173240000000003,1.9373240000000003,2.9373240000000003,3.7573239999999997,1.437324,3.0173240000000003,3.2246490000000003,2.337324,1.9173240000000003,1.8373240000000002,2.0373240000000004,1.957324,2.317324
3,2,0,2.957143,3.537143,3.017143,7.677142999999999,3.657143,3.257143,3.077143,3.297143,2.477143,2.173571,2.537143,2.797143,3.417143,3.4335709999999997,2.517143,3.617143,2.8771430000000002,2.837143,3.217143,3.677143,3.757143,2.517143,6.117143,2.577143,3.597143,2.817143,3.197143,3.797143,3.037143,2.677143,2.577143,3.657143,4.577143,2.077143,3.59974,4.257143,3.021786,2.597143,2.697143,2.657143,2.641786,3.497143
4,2,1,3.580771,4.520771,3.620771,8.580771,4.500771,3.972693,3.800771,4.0807709999999995,3.116154,3.000771,3.140771,3.660771,4.140771,4.320771,3.3407709999999997,4.5807709999999995,3.500771,3.560771,4.145385,4.405385,4.332693,3.140771,6.820771000000001,3.220771,4.240771,3.3207709999999997,4.200771,4.75359,3.780771,3.280771,3.300771,4.6207709999999995,5.840771,2.620771,4.360771,5.060771,3.760771,3.531542,3.537693,3.572693,3.300771,4.086539
5,2,2,4.20771,5.14771,4.22771,9.60771,5.18771,4.5877099999999995,4.82771,4.76771,3.8077099999999997,3.60771,3.7477099999999997,4.40771,5.24771,5.16771,3.98771,5.68771,4.1277099999999995,4.36771,4.92771,5.40771,4.92771,3.7877099999999997,7.62771,3.94771,5.007709999999999,3.94771,5.24771,5.56771,4.76771,3.8877099999999998,3.8877099999999998,5.24771,6.7077100000000005,3.2677099999999997,5.007709999999999,5.80771,4.56771,4.24771,3.9688550000000005,4.26771,4.0877099999999995,4.92771
6,3,0,4.788208999999999,5.928209,4.868208999999999,10.706417,6.048209,5.168209,5.968209,5.4882089999999994,4.708209,4.328208999999999,4.348209,5.0682089999999995,6.4882089999999994,5.9882089999999994,4.548209,6.548209,4.788208999999999,5.128209,5.588209,6.542834,5.788208999999999,4.5682089999999995,8.368209,4.768209,6.088209,4.646417,6.4882089999999994,6.908208999999999,5.708209,4.5282089999999995,4.5682089999999995,5.828208999999999,7.548209,3.8282089999999998,5.868208999999999,6.9882089999999994,5.288208999999999,5.008209,4.548209,5.0282089999999995,5.048209,6.008209
7,3,1,5.413469,6.573469,5.533469,11.453469,6.753469,5.711735,6.673469,6.153469,5.4334690000000005,5.013469000000001,4.993469,5.793469,7.273469,6.733469,5.153469,7.253469,5.4334690000000005,5.8934690000000005,6.273469,7.233469,6.533469,5.153469,9.053469,5.413469,6.813469,5.213469,7.173469,7.953469,6.613469,5.173469,5.233469,6.473469000000001,8.213469,4.373469,6.553469000000001,8.153469,5.973469000000001,5.693469,5.173469,5.673469,5.733469,6.773469
8,3,2,6.153061,7.413061,6.113061,12.173061,7.493061,6.293061,7.373061,6.793061,6.153061,5.613061,5.733061,6.453061,8.113061,7.493061,5.813061,7.813061,6.113061,6.633061,6.913061,7.913061,7.093061,5.673061,9.773061,5.993061,7.673061,5.773061,7.996122,8.653061,7.453061,5.753061,5.813061,7.0530610000000005,8.933061,4.953061,7.313061,9.053061,6.693061,6.573061,5.673061,6.413061,6.373061,7.373061
9,4,0,6.9291279999999995,8.435203999999999,6.727602,13.060408,8.380408000000001,6.9291279999999995,8.260408,7.3604080000000005,7.060408,6.3552040000000005,6.600408,7.220408,9.400408,8.22863,6.575041000000001,8.520408,6.791735000000001,7.4004080000000005,7.645204,8.805204,7.642602,6.32863,10.700408,6.780408,8.440408,6.560408,9.200408,10.000408,8.340408,6.3863010000000004,6.380408,7.8204080000000005,10.000408,5.660408,8.153469,10.080408,7.740408,7.460408,6.193469,7.180408,7.217602,8.400408
10,4,1,7.388189,9.235510000000001,7.215510000000001,13.735510000000001,8.93551,7.530550999999999,8.93551,8.01551,7.855510000000001,6.942755,7.283946,7.895510000000001,10.495510000000001,9.03551,7.172755,9.255510000000001,7.395510000000001,8.09551,8.37551,9.47551,8.437774000000001,6.871836999999999,11.556378,7.501378,9.11551,7.067102,10.175510000000001,11.05551,9.11551,6.87551,6.975510000000001,8.77551,10.82517,6.37551,8.85551,10.995510000000001,8.43551,8.31551,6.855510000000001,8.175510000000001,7.95551,8.97551
11,4,2,7.916735000000001,9.996735000000001,7.8567350000000005,14.416735000000001,9.596735,8.023367,9.636735,8.836735000000001,8.516735,7.618912,7.876735000000001,8.616735,11.336735000000001,9.776735,7.976735000000001,10.416735000000001,8.116735,8.856735,9.216735,10.156735000000001,8.976735000000001,7.456735000000001,12.176735,8.136735,10.136735,7.736735,11.123469,11.836735000000001,10.316735000000001,7.516735000000001,7.816735,9.436735,11.616735,7.076735,9.676735,11.736735000000001,9.035842,9.076735000000001,7.3567350000000005,8.856735,8.683367,9.836735000000001
12,5,0,8.655918,10.855917999999999,8.655918,15.435918,10.555918,8.735918,10.655918,9.662958999999999,9.555918,8.395918,8.675918,9.575918,12.515918,10.635917999999998,9.135917999999998,10.992958999999999,8.815918,9.655918,10.235918,11.175918,9.317653,8.135917999999998,13.135917999999998,8.975918,11.301836999999999,8.535917999999999,12.475918,12.995918,11.315918,8.295917999999999,8.655918,10.595918,12.575918,7.635917999999999,10.735918,12.895918,9.955917999999999,9.875917999999999,8.415918,9.615917999999999,9.755918,11.015918
13,5,1,9.316735000000001,11.576735000000001,9.416735000000001,16.176735,11.276735,9.296735,11.376735,10.496735000000001,10.216735,9.016735,9.176735,10.396735000000001,13.436735,11.496735000000001,10.096735,11.803469,9.536735,10.456735,11.056735,11.876735,10.096735,8.696735,13.796735,9.716735,12.076735000000001,9.176735,13.376735,14.136735,12.236735000000001,9.056735,9.476735000000001,11.436735,13.196735,8.216735,11.456735,14.016735,10.743469000000001,10.596735,9.256735,10.296735,10.416735000000001,11.756735
14,5,2,9.856327,12.296327,9.936327,16.756327,11.94898,9.816327000000001,11.976327000000001,11.282653,10.802653,9.596327,9.742653,10.976327000000001,14.188979999999999,12.162653,10.696327,12.976327000000001,10.116327,11.202653,11.636327,12.456327,11.356327,9.202653,14.396327,10.296327,12.822653,9.796327,14.056327,14.716327,12.936327,9.582653,10.002653,12.016327,13.836326999999999,8.716327,12.136327,14.922653,11.40898,11.256327,9.876327,10.976327000000001,10.956327,12.302653
15,6,0,10.426530999999999,13.526531,10.619133,17.79551,12.748265,10.624133,12.995510000000001,12.326531,11.886531,10.366531,10.766531,11.886531,15.446531,13.086530999999999,11.746531,13.646531,11.046531,11.966531,12.408265,13.466531,12.268265,10.108265,15.366531,11.306531,13.946531,10.806531,15.386531,16.05551,13.846531,10.288264999999999,10.786531,12.726531,14.866531,9.386531,13.226531,16.286531,12.706531,12.346531,10.578265,12.006530999999999,11.988265,13.208264999999999
16,6,1,11.116837,14.403673000000001,11.503673,18.563673,13.403673000000001,11.423672999999999,13.763673,13.303673000000002,12.723673,11.023672999999999,11.703673,12.763672999999999,16.503673000000003,14.043673000000002,12.823673,14.483673000000001,11.823673,12.683672999999999,13.143417999999999,14.223673000000002,12.843672999999999,10.783673,16.123673,12.286837,15.043673000000002,11.587891,16.103673,16.843673000000003,14.643673000000001,11.143673,11.583673,13.583673000000001,15.783673,9.883673,14.063673000000001,17.523673000000002,13.703673,13.143673000000001,11.383673,13.023672999999999,12.686836999999999,13.883673000000002
17,6,2,11.626939,14.966939000000002,12.066939,19.146939,13.946939000000002,11.846939,14.326939000000001,13.886939000000002,13.306939000000002,11.586939,12.166939,13.366939000000002,17.606939,14.626939000000002,13.326939000000001,15.066939000000001,12.366939,13.266939,13.686939,14.786939000000002,13.326939000000001,11.226939,16.686939000000002,12.826939,15.766939,12.146939,16.746939,17.406939,15.486939000000001,11.766939,12.426938999999999,14.146939000000001,16.286939,10.446939,14.746939000000001,18.346939000000003,14.266939,13.986939000000001,11.906939,13.626939000000002,13.246939000000001,14.426939
18,7,0,12.760726,16.360726,12.920726,20.340726,14.840726,12.560725999999999,15.400726,15.240726,14.380726000000001,12.380726,12.900725999999999,14.420726,19.220726000000003,15.920726,14.120726000000001,16.820726,13.020726,14.100726000000002,14.960726000000001,15.980726,14.360726000000001,11.860726,17.545363000000002,13.960726000000001,17.340726,13.160726,17.960726,18.700726,16.620726,12.560725999999999,13.820726,15.220726,17.125363,11.225363,16.500726,20.140726,15.640726,14.620726000000001,12.880726,14.460726000000001,14.840726,15.480726
19,7,1,13.582857,17.468571,13.522857,21.382857,15.662857,13.162857,16.648571,16.222857,15.762857,13.182857,13.602857,15.042857000000001,20.482857,16.742857,14.782857,17.742857,13.662857,14.868571,15.662857,17.022857000000002,15.022857,12.420952,18.261429,14.662857,18.682857000000002,13.742857,18.682857000000002,19.602857,17.535714000000002,13.162857,14.462857000000001,15.942857,17.622857,11.862857,17.122857,21.382857,16.522857000000002,15.282857,13.542857000000001,15.222857000000001,15.642857000000001,16.102857
