,measure_number,beat_number,pid1263-27,pid52932-13,pid610003b-03,pid9048b-03,pid9049-28,pid9050-28,pid9054-28,pid9055-27,pid9058-28,pid9059b-03,pid9060-28,pid9061-28,pid9062b-02,pid9063b-03,pid9066-28,pid9070b-11,pid9071b-06,pid9072b-03,pid9073b-03,pid9074f-28,pid9075-28,pid9093b-02,pid9094-27,pid9099b-03,pid9101b-10,pid9104-28,pid9105b-10,pid9111b-01,pid9118b-03,pid9137-15,pid9138-28,pid9139-27,pid9153-27,pid9166h-04,pid9170-27,pid9174-28,pid917520g-11,pid9176-10,pid9192-28
0,1,0,0.074857,0.714286,2.814286,1.734286,1.794286,0.6542859999999999,0.734286,0.9514290000000001,0.336071,0.314286,0.474286,1.194286,0.634286,2.194286,0.734286,0.514286,0.014286000000000002,1.034286,1.1542860000000001,1.1542860000000001,0.6542859999999999,0.514286,0.874286,0.443117,0.634286,0.734286,1.8742860000000001,0.574286,2.052143,0.15607100000000002,0.49428599999999995,0.33939600000000003,0.297143,0.054286,0.014286000000000002,0.314286,0.6542859999999999,1.034286,0.7742859999999999
1,1,1,0.30195,1.04195,3.16195,2.04195,2.10195,1.00195,1.24195,1.30195,0.58195,0.68195,0.78195,1.50195,0.90195,2.50195,1.04195,0.82195,0.32195,1.36195,1.5739,1.54195,0.96195,0.78195,1.18065,0.68195,1.04195,1.08195,2.34195,0.68195,2.30195,0.36195,0.7586579999999999,0.38195,0.447317,0.36195,0.32195,0.62195,0.98195,1.30195,1.10195
2,1,2,0.673469,1.413469,3.533469,2.253469,2.4734689999999997,1.373469,1.613469,1.6734689999999999,0.9334690000000001,1.053469,1.110347,1.8734689999999998,1.273469,2.873469,1.413469,1.093469,0.693469,1.568163,1.953469,1.9134689999999999,1.207934,1.153469,1.437959,1.053469,1.413469,1.4534690000000001,2.713469,1.053469,2.5534689999999998,0.685867,1.073469,0.7534689999999999,0.7134689999999999,0.692717,0.693469,0.913344,1.553469,1.6734689999999999,1.4734690000000001
3,2,0,0.8824040000000001,1.742404,3.842404,2.642404,2.782404,1.702404,1.8424040000000002,1.782404,1.162404,1.3024040000000001,1.3224040000000001,2.262404,1.542404,3.262404,1.782404,1.482404,0.8824040000000001,1.922404,2.222404,2.302404,1.502404,1.3424040000000002,1.682404,1.282404,1.6224040000000002,1.762404,3.662404,1.442404,2.742404,0.9424040000000001,1.442404,1.1024040000000002,0.962404,0.8224040000000001,1.0824040000000001,1.0824040000000001,2.022404,1.880801,1.8224040000000001
4,2,1,1.1842629999999998,2.064263,4.144263,2.9442630000000003,3.084263,2.004263,2.264263,2.084263,1.364263,1.604263,1.544263,2.564263,1.8042630000000002,3.564263,2.044263,1.704263,1.1642629999999998,2.204263,2.483566,2.664263,1.761421,1.604263,1.937132,1.584263,1.924263,2.084263,4.044263,1.7442630000000001,3.024263,1.2242629999999999,1.7442630000000001,1.4042629999999998,1.264263,1.124263,1.4042629999999998,1.344263,2.524263,2.144263,2.144263
5,2,2,1.5706120000000001,2.450612,4.550612,3.280153,3.4506120000000005,2.410612,2.6706119999999998,2.490612,1.7706119999999999,2.010612,1.830122,2.970612,2.230612,3.9706120000000005,2.450612,2.0906119999999997,1.5702040000000002,2.536871,2.870612,3.1506119999999997,2.1306119999999997,1.838384,2.250612,1.9706119999999998,2.250612,2.490612,5.070612000000001,2.1506119999999997,3.2974010000000002,1.545153,2.070612,1.8106119999999999,1.6106120000000002,1.511874,1.8106119999999999,1.584601,2.930612,2.550612,2.550612
6,3,0,1.8014970000000001,2.7214970000000003,4.881497,3.501497,3.6814970000000002,2.7614970000000003,2.861497,2.6614970000000002,1.935748,2.2214970000000003,2.081497,3.2614970000000003,2.381497,4.301497,2.7814970000000003,2.381497,1.6614970000000002,2.7414970000000003,3.2014970000000003,3.481497,2.301497,2.041497,2.481497,2.2214970000000003,2.541497,2.821497,5.541497,2.401497,3.401497,1.8614970000000002,2.361497,2.141497,1.9014970000000002,1.6614970000000002,2.061497,1.8014970000000001,3.2014970000000003,2.621497,2.901497
7,3,1,2.0975509999999997,3.0375509999999997,5.232653,3.7775510000000003,4.017551,3.0975509999999997,3.2775510000000003,2.957551,2.197551,2.5775509999999997,2.377551,3.577551,2.677551,4.597551,3.0775509999999997,2.6175509999999997,1.9775509999999998,3.0375509999999997,3.537551,3.825102,2.5975509999999997,2.277551,2.763776,2.565102,2.837551,3.217551,5.977551,2.917551,3.637551,2.08585,2.6575509999999998,2.477551,2.1175509999999997,1.9575509999999998,2.417551,2.134592,3.7375510000000003,2.897551,3.217551
8,3,2,2.462438,3.414875,5.614875,4.132764,4.394875,3.474875,3.634146,3.134875,2.494875,2.954875,2.626097,3.954875,3.054875,4.974875,3.474875,2.994875,2.310542,3.314875,3.914875,4.314875,2.862975,2.594875,3.002975,2.954875,3.1424380000000003,3.594875,6.354875,3.254875,3.8924879999999997,2.454875,3.0182919999999998,2.854875,2.414875,2.236992,2.754875,2.31892,4.114875,3.274875,3.594875
9,4,0,2.75737,3.79737,5.97737,4.3173699999999995,4.55737,3.81737,3.873685,3.364152,2.75737,3.1773700000000002,2.89737,4.237369999999999,3.272457,5.3173699999999995,3.8373699999999995,3.3573699999999995,2.49737,3.523685,4.25737,4.67737,3.1573700000000002,2.79737,3.195921,3.23737,3.3973699999999996,3.9573699999999996,6.737369999999999,3.4721089999999997,4.077369999999999,2.79737,3.23737,3.204739,2.73737,2.39737,3.132109,2.503685,4.45737,3.4173699999999996,3.926848
