,measure_number,beat_number,pid1263-28,pid610003b-04,pid9048b-04,pid9049-29,pid9050-29,pid9054-29,pid9055-28,pid9058-29,pid9059b-04,pid9060-29,pid9061-29,pid9062b-03,pid9063b-04,pid9066-29,pid9070b-12,pid9072b-04,pid9073b-04,pid9074f-29,pid9093b-03,pid9094-28,pid9097-19,pid9098-08,pid9099b-04,pid9101b-11,pid9104-29,pid9118b-04,pid9130-03,pid9138-29,pid9139-28,pid9153-28,pid9170-28,pid9174-29,pid9192-29
0,1,2,0.775986,0.6359859999999999,1.655986,1.6159860000000001,0.675986,0.995986,0.515986,0.315986,0.315986,0.47598599999999996,0.8959860000000001,0.705329,2.115986,0.9159860000000001,0.6159859999999999,1.085329,1.435986,1.0959860000000001,0.975986,0.9359860000000001,0.315986,0.6359859999999999,0.375986,0.655986,0.7359859999999999,2.135986,1.175986,0.515986,0.675986,0.6159859999999999,0.535986,0.315986,0.815986
1,2,0,1.373469,1.033469,2.233469,2.313469,1.091156,1.8134689999999998,1.353469,0.8934690000000001,0.7334689999999999,1.050867,2.273469,1.253469,2.773469,1.573469,1.1117350000000001,1.571735,1.8508669999999998,1.6734689999999999,1.451735,1.4934690000000002,0.8934690000000001,1.513469,0.8969389999999999,1.2134690000000001,1.373469,3.0134689999999997,1.8734689999999998,1.2334690000000001,1.311735,1.031156,1.131735,0.873469,1.413469
2,2,1,2.0456119999999998,1.547075,2.901224,3.001224,1.607075,2.561224,1.981224,1.345612,1.361224,1.401224,3.2412240000000003,1.601224,3.4212239999999996,2.321224,1.3885370000000001,2.041224,2.347075,2.2612240000000003,1.8856119999999998,2.061224,1.4812239999999999,2.2812240000000004,1.507806,1.741224,1.7878060000000002,3.5612239999999997,2.481224,1.8412240000000002,1.8212240000000002,1.3678059999999999,1.721224,1.501224,2.041224
3,2,2,2.425714,1.925714,3.425714,3.405714,1.965714,2.9657139999999997,2.365714,1.665714,1.8257139999999998,1.765714,3.905714,1.925714,3.925714,2.865714,1.668929,2.425714,2.725714,2.685714,2.201905,2.425714,1.961429,2.765714,1.965714,2.165714,2.145714,3.9457139999999997,2.9857139999999998,2.225714,2.245714,1.725714,2.245714,1.8457139999999999,2.425714
4,3,0,2.8330610000000003,2.2930610000000002,3.873061,3.8330610000000003,2.353061,3.3330610000000003,2.693061,2.033061,2.3330610000000003,2.133061,4.5822449999999995,2.273061,4.313061,3.373061,1.993061,2.873061,3.093061,3.053061,2.533061,2.773061,2.413061,3.173061,2.373061,2.493061,2.493061,4.373061,3.5761220000000002,2.553061,2.613061,2.073061,2.693061,2.233061,2.753061
5,3,1,3.20424,2.64424,4.30424,4.26424,2.70424,3.64424,3.0442400000000003,2.36424,2.86424,2.498481,5.10424,2.6242400000000004,4.64424,3.78424,2.22424,3.28424,3.4371199999999997,3.42424,2.80424,3.14424,2.82424,3.66424,2.80424,2.84424,2.80424,4.7442400000000005,4.08424,2.84424,2.9842400000000002,2.36424,3.132721,2.64424,3.1242400000000004
6,3,2,3.550612,2.990612,4.770612,4.670612,3.030612,4.110612000000001,3.3906120000000004,2.790612,3.3106120000000003,3.070612,5.610612000000001,3.030612,5.050612,4.130612,2.570612,3.7706120000000003,3.7706120000000003,3.7306120000000003,3.1506119999999997,3.570612,3.190612,4.090612,3.230612,3.2906120000000003,3.1706119999999998,5.110612000000001,4.730612000000001,3.250612,3.3906120000000004,2.810612,3.570612,3.010612,3.630612
7,4,0,4.020408,3.336939,5.396939,5.036939,3.396939,4.673469,4.013469000000001,3.213469,3.833469,3.6134690000000003,6.1969389999999995,3.533469,5.603878,4.580408,2.9534689999999997,4.356939,4.120408,4.073469,3.536939,4.013469000000001,3.596939,4.683878,3.716939,3.7934690000000004,3.533469,5.613469,5.336939,3.5934690000000002,3.893469,3.4569389999999998,3.973469,3.353469,4.096939
8,4,1,4.43551,3.7755099999999997,5.73551,5.47551,3.8355099999999998,5.052755,4.43551,3.51551,4.25551,3.89551,6.681019999999999,3.8355099999999998,6.15551,5.05551,3.2155099999999996,4.73551,4.51551,4.37551,3.8555099999999998,4.31551,3.95551,5.15551,4.21551,4.13551,3.8355099999999998,5.91551,5.87551,3.8355099999999998,4.23551,3.7755099999999997,4.35551,3.63551,4.455509999999999
9,4,2,4.765714,4.065714,6.125714,5.825714,4.125714,5.405714,4.805714,3.825714,4.725714,4.405714,7.105714,4.2057139999999995,6.545714,5.365714,3.487857,5.105714,4.825714,4.685714,4.145714,4.625714,4.365714,5.625714,4.605714,4.465714,4.125714,6.225714,6.385714,4.145714,4.605714,4.125714,4.765714,3.9457139999999997,4.825714
