,measure_number,beat_number,pid1263b-01,pid52932-16,pid610003b-05,pid9048b-05,pid9049b-01,pid9050b-01,pid9054b-01,pid9055b-01,pid9056-10,pid9058b-01,pid9059b-05,pid9060-30,pid9061-30,pid9062b-04,pid9063b-05,pid9064-12,pid9066b-01,pid9069-01,pid9070b-13,pid9072b-05,pid9073b-05,pid9074g-01,pid9075b-01,pid9085-03,pid9088-17,pid9093b-07,pid9094b-01,pid9099b-05,pid9101b-12,pid9104b-01,pid9111b-03,pid9112-09,pid9117-05,pid9118b-05,pid9120-09,pid9121-09,pid9134-07,pid9138b-01,pid9139b-01,pid9153b-01,pid9166j-01,pid9170b-01,pid9174b-01,pid917509-08,pid9192b-01
0,1,0,1.485714,0.7257140000000001,3.065714,1.685714,0.825714,1.1057139999999999,3.145714,1.765714,0.305714,2.565714,0.28571399999999997,0.44571400000000005,0.745714,0.721429,1.1257139999999999,0.465714,1.725714,0.825714,0.545714,0.441429,1.8457139999999999,3.545714,1.0857139999999998,0.805714,0.465714,0.845714,1.765714,0.325714,0.6057140000000001,3.805714,0.18571400000000002,0.665714,0.765714,2.045714,0.965714,0.845714,0.565714,0.525714,1.305714,0.685714,1.445714,1.265714,0.305714,0.5857140000000001,0.665714
1,1,1,2.032653,1.272653,3.4326529999999997,2.2113270000000003,1.312653,1.452653,4.052653,2.212653,0.692653,2.992653,0.712653,0.912653,1.332653,1.272653,1.552653,0.941327,2.552653,1.492653,0.901327,0.9926530000000001,2.212653,4.052653,1.6326530000000001,1.272653,0.9526530000000001,1.3926530000000001,2.252653,0.781327,1.192653,4.492653,0.6526529999999999,1.0613270000000001,1.352653,2.4526529999999998,1.361327,1.337551,1.032653,1.032653,1.797551,1.232653,1.7926529999999998,1.872653,0.912653,1.012653,1.1726530000000002
2,1,2,2.307347,1.5873469999999998,3.747347,2.507347,1.547347,1.7673470000000002,4.387347,2.487347,0.9473469999999999,3.169469,1.027347,1.187347,1.6673470000000001,1.6473470000000001,1.827347,1.207347,2.987347,1.887347,1.187347,1.307347,2.467347,4.387347,1.9673470000000002,1.5873469999999998,1.167347,1.6873470000000002,2.667347,1.0873469999999998,1.527347,4.8273470000000005,0.967347,1.314337,1.5873469999999998,2.747347,1.599337,1.598673,1.307347,1.338673,2.1073470000000003,1.507347,2.1273470000000003,2.207347,1.227347,1.3873469999999999,1.427347
3,2,0,2.5604080000000002,1.805204,3.940408,2.755204,1.8004080000000002,1.9604080000000002,4.640408,2.740408,1.200408,3.420408,1.280408,1.400408,1.9404080000000001,1.9204080000000001,2.0804080000000003,1.460408,3.240408,2.1404080000000003,1.400408,1.560408,2.7204080000000004,4.660408,2.2204080000000004,1.8604080000000003,1.420408,1.9404080000000001,2.920408,1.400408,1.7804080000000002,5.080408,1.180408,1.520408,1.8004080000000002,3.000408,1.8004080000000002,1.8004080000000002,1.555204,1.580408,2.360408,1.7604080000000002,2.380408,2.520408,1.420408,1.640408,1.6804080000000001
4,2,1,3.0738779999999997,2.253878,4.353878,3.1338779999999997,2.213878,2.373878,5.073878,3.1538779999999997,1.553878,3.713878,1.7338779999999998,1.833878,2.373878,2.513878,2.473878,1.9938779999999998,3.793878,2.813878,1.8138779999999999,1.9538779999999998,3.1338779999999997,5.133878,2.6938779999999998,2.393878,1.7738779999999998,2.393878,3.353878,1.873878,2.221633,5.553878,1.6138780000000001,1.873878,2.273878,3.473878,2.1538779999999997,2.213878,2.013878,1.933878,2.833878,2.1738779999999998,2.773878,3.0738779999999997,1.8138779999999999,2.1138779999999997,2.1138779999999997
5,2,2,3.449388,2.629388,4.729388,3.509388,2.589388,2.729388,5.449388,3.5293879999999995,1.841878,4.029388,2.209388,2.079694,2.749388,2.929388,2.8493880000000003,2.3293880000000002,4.169388,3.229388,2.189388,2.3293880000000002,3.509388,5.529388,3.069388,2.769388,2.109796,2.769388,3.7293879999999997,2.309388,2.629388,5.9693879999999995,1.879949,2.120853,2.649388,3.849388,2.529388,2.549388,2.3893880000000003,2.309388,3.169388,2.549388,3.149388,3.5293879999999995,2.189388,2.489388,2.449796
6,3,0,3.756735,2.9967349999999997,5.076735,3.876735,2.836735,3.096735,5.756735,3.896735,2.176735,4.216735,2.5767349999999998,2.356735,3.096735,3.396735,3.176735,2.636735,4.556735,4.016735,2.5367349999999997,2.616735,3.856735,5.896735,3.4367349999999997,3.0367349999999997,2.256735,3.156735,4.056735,2.676735,2.9167349999999996,6.336735,2.136735,2.356735,2.9567349999999997,4.176735,2.736735,2.756735,2.656735,2.4933669999999997,3.5367349999999997,2.9167349999999996,3.4333669999999996,3.896735,2.396735,2.796735,2.736735
7,3,1,4.165714,3.425714,5.505714,4.2457139999999995,3.285714,3.525714,6.145714,4.265714,2.4857139999999998,4.525714,3.0057139999999998,2.745714,3.5057139999999998,3.845714,3.565714,2.9857139999999998,4.985714,4.497143,2.905714,2.9657139999999997,4.285714,6.325714,3.885714,3.4457139999999997,2.605714,3.585714,4.505714,3.065714,3.345714,6.785714,2.4857139999999998,2.697857,3.385714,4.565714,3.065714,3.097857,2.9657139999999997,2.845714,3.925714,3.245714,3.785714,4.365714,2.725714,3.245714,3.125714
8,3,2,4.451429,3.711429,5.731429,4.511429,3.511429,3.751429,6.4314290000000005,4.551429,2.771429,4.731429,3.371429,3.051429,3.791429,4.211429,3.891429,3.291429,5.271429,4.851429,3.1914290000000003,3.271429,4.511429,6.651428999999999,4.171429,3.791429,2.851429,3.871429,4.751429,3.411429,3.650714,7.111428999999999,2.791429,2.891429,3.6514290000000003,4.851429,3.317143,3.351429,3.251429,3.1114290000000002,4.211429,3.491429,4.071429,4.671429,2.991429,3.571429,3.391429
9,4,0,4.840204,4.055102,6.115101999999999,4.875102,3.8951019999999996,4.135102,6.795102,4.8151019999999995,3.135102,5.015102,3.7751019999999995,3.4151019999999996,4.155101999999999,4.595102,4.2751019999999995,3.615102,5.575101999999999,5.3151019999999995,3.5551019999999998,3.655102,4.895102,7.095102000000001,4.555102,4.175102,3.175102,4.195101999999999,5.015102,3.7951019999999995,3.9951019999999997,7.515102000000001,3.195102,3.155102,4.035101999999999,5.175102,3.5551019999999998,3.655102,3.575102,3.4351019999999997,4.595102,3.8151019999999995,4.375102,5.075101999999999,3.3151019999999995,4.000204,3.7551019999999995
