,measure_number,beat_number,pid1263b-02,pid52932-17,pid610003b-06,pid9048b-06,pid9050b-02,pid9054b-02,pid9055b-02,pid9058b-02,pid9059b-06,pid9060-31,pid9063b-06,pid9064-13,pid9065-20,pid9066b-02,pid9069-02,pid9072b-06,pid9073b-06,pid9075b-02,pid9085-04,pid9088-18,pid9090-15,pid9093b-08,pid9094b-02,pid9097-20,pid9098-16,pid9099b-06,pid9101b-13,pid9104b-02,pid9111b-04,pid9118b-06,pid9121-10,pid9134-08,pid9138b-02,pid9139b-02,pid9153b-02,pid915406-14,pid9166j-02,pid9170b-02,pid9174b-02,pid9192b-02
0,1,0,0.842041,0.742041,3.542041,1.702041,0.682041,0.9820409999999999,1.1620409999999999,0.142041,0.302041,0.502041,1.282041,0.422041,2.022041,1.282041,0.454082,0.502041,0.942041,0.282041,0.682041,0.41408199999999995,2.354082,0.942041,0.902041,0.6020409999999999,0.542041,0.342041,0.662041,1.0160200000000001,0.222041,1.982041,1.202041,0.9820409999999999,0.762041,0.502041,0.562041,0.942041,1.042041,0.502041,0.38204099999999996,0.662041
1,1,1,1.5171430000000001,1.377143,4.077143,2.3771430000000002,1.237143,1.5171430000000001,1.737143,0.8371430000000001,0.857143,1.0171430000000001,1.977143,0.897143,2.597143,2.477143,1.0171430000000001,1.097143,1.477143,0.737143,1.317143,0.9571430000000001,2.937143,1.677143,1.457143,1.297143,1.157143,0.9571430000000001,1.2571430000000001,1.537143,1.297143,2.437143,1.957143,1.957143,1.457143,1.077143,1.317143,1.4971430000000001,1.577143,1.097143,1.097143,1.397143
2,1,2,2.0804080000000003,1.9404080000000001,4.620408,2.840408,1.7004080000000001,2.1404080000000003,2.300408,1.129262,1.420408,1.320408,2.540408,1.35368,3.1604080000000003,3.040408,1.516082,1.660408,2.040408,1.009401,1.772764,1.400408,3.500408,2.240408,1.819564,1.900408,1.7204080000000002,1.4400819999999999,1.8204080000000002,1.880408,1.8604080000000003,2.860408,2.382534,2.520408,2.0804080000000003,1.600408,1.880408,2.022602,1.9343439999999998,1.400408,1.632534,1.9604080000000002
3,2,0,2.743673,2.443673,5.003673,3.3436730000000003,2.143673,2.7036729999999998,2.803673,1.503673,1.983673,1.763673,3.043673,1.443673,3.4836730000000005,3.3636730000000004,2.043673,2.103673,2.363673,1.5436729999999999,2.143673,1.683673,3.8436730000000003,2.803673,2.103673,2.483673,2.1636729999999997,1.903673,2.023673,2.383673,2.483673,3.134558,2.863673,3.003673,2.763673,1.963673,2.423673,2.443673,2.363673,1.903673,2.003673,2.303673
4,2,1,3.3995919999999997,3.039592,5.519591999999999,3.999592,2.659592,3.179592,3.459592,1.8995919999999997,2.579592,2.3395919999999997,3.639592,1.839592,3.979592,3.8595919999999997,2.579592,2.599592,2.989184,1.9395919999999998,2.659592,2.159592,4.339592,3.4395919999999998,2.679592,3.179592,2.739592,2.499592,2.519592,2.7995919999999996,3.039592,3.459592,3.3795919999999997,3.539592,3.3995919999999997,2.499592,3.079592,2.999592,2.8795919999999997,2.3995919999999997,2.539592,2.8995919999999997
5,2,2,3.864082,3.564082,5.984082,4.464082,3.124082,3.644082,3.924082,2.364082,3.044082,2.624082,4.124082,2.23463,4.323408000000001,4.324082,3.084082,3.084082,3.439014,2.304082,3.144082,2.624082,4.804082,4.004082,3.036004,3.8240819999999998,3.244082,2.964082,2.984082,3.264082,3.504082,3.684082,3.8440819999999998,3.93926,3.864082,2.964082,3.684082,3.464082,3.27852,2.749155,3.004082,3.364082
6,3,0,4.286531,4.046531,6.366531,4.963061,3.559592,3.986531,4.386531,2.448265,3.526531,3.0265310000000003,4.586531,2.386531,4.658265,4.666531,3.666531,3.486531,3.776122,2.686531,3.3865309999999997,2.866531,5.1065309999999995,4.486530999999999,3.226531,4.306531,3.7265309999999996,3.4265309999999998,3.226531,3.526531,4.026530999999999,4.1465309999999995,4.266531,4.238265,4.426531,3.3065309999999997,4.206531,3.9065309999999998,3.646531,3.226531,3.3465309999999997,3.7665309999999996
7,3,1,4.913469,4.593469,6.8934690000000005,5.533469,4.053469000000001,4.4334690000000005,4.913469,2.813469,4.073469,3.533469,5.133469,2.793469,5.113469,5.133469,4.253469,3.973469,4.373469,3.093469,3.893469,3.3134690000000004,5.593469,4.993469,3.7134690000000004,5.033469,4.3534690000000005,3.973469,3.7134690000000004,3.993469,4.693469,4.573469,4.833469,4.633469,4.993469,3.8134690000000004,4.693469,4.413469,4.173469,3.6934690000000003,3.7734690000000004,4.3534690000000005
8,3,2,5.270612,5.070612000000001,7.350612,5.9906120000000005,4.510612,4.726419,5.370612,3.1106119999999997,4.5306120000000005,3.990612,5.590612,3.154791,5.570612000000001,5.57229,4.710612,4.370612,4.830076999999999,3.437095,4.290056,3.6567010000000004,6.050612,5.4506120000000005,3.997853,5.492449,4.911224,4.430612,4.090612,4.330612,5.0306120000000005,4.937187000000001,5.290612,5.090612,5.4506120000000005,4.250612,5.140306,4.850612,4.560077,4.095051,4.230047,4.740076999999999
9,4,0,5.781224,5.581224,7.741224000000001,6.501224,4.881224,5.121224,5.721223999999999,3.301224,5.061224,4.241224,6.021224,3.2612240000000003,5.721223999999999,5.861224,5.3012239999999995,4.781224,5.081224,3.721224,4.621224,3.9012239999999996,6.321224,5.941224,4.181223999999999,6.081224,5.461224,4.901224,4.361224,4.621224,5.561224,5.221223999999999,5.741224,5.361224,5.981224,4.621224,5.601224,5.161224,4.981224,4.401224,4.501224,5.161224
10,4,1,6.8671429999999996,6.268571,8.368571000000001,7.048571000000001,5.508571,5.628571,6.408571,3.8685709999999998,5.828571,4.728571,6.808571000000001,3.8885709999999998,6.328571,6.448571,5.988571,5.249286,5.708571,4.188571,5.388571,4.288571,6.848571000000001,6.908571,4.728571,6.808571000000001,6.531429,5.507143,4.868571,5.328571,6.308571,5.728571,6.308571,6.268571,6.788571000000001,5.128571,6.308571,5.668571,5.748571,5.028571,4.888571,5.768571
