,measure_number,beat_number,pid1263b-03,pid510262-04,pid52932-18,pid5667249-20,pid5667271-04,pid5667291-18,pid610003b-07,pid9048b-07,pid9049b-03,pid9050b-03,pid9052b-10,pid9054b-03,pid9055b-03,pid9056-11,pid9057f-13,pid9058b-03,pid9059b-07,pid9060b-01,pid9061-32,pid9062b-06,pid9063b-07,pid9064-14,pid9065-21,pid9066b-03,pid9069-03,pid9070b-15,pid9072b-07,pid9073b-07,pid9074g-03,pid9075b-03,pid9085-05,pid9088-19,pid9089-17,pid9090-16,pid9093b-09,pid9094b-03,pid9099b-07,pid9101b-14,pid9103-15,pid9104b-03,pid9111b-05,pid9113-18,pid9114b-12,pid9117-07,pid9118b-07,pid9119-08,pid9120-10,pid9121-11,pid9129-23,pid9130-09,pid9134-09,pid9137-16,pid9138b-03,pid9139b-03,pid9153b-03,pid9161-09,pid9166j-03,pid9170b-03,pid9174b-03,pid917509-09,pid917520-19,pid917525-03,pid9176-11,pid918713-09,pid918819-07,pid918904-11,pid9192b-03
0,1,2,0.6697069999999999,0.406969,0.740907,1.480907,1.6454540000000002,1.302721,0.10090700000000001,1.520907,1.0827209999999998,0.720907,1.8854540000000002,1.420907,1.000907,0.28696900000000003,0.12090699999999999,2.152576,0.285454,0.8009069999999999,1.040907,0.625454,2.260907,0.386969,2.880907,1.6209069999999999,0.380907,0.520907,0.405454,1.220907,1.8609069999999999,0.240907,0.705454,0.46696899999999997,1.985454,2.560907,1.545454,1.520907,0.27362800000000004,0.545454,0.36090700000000003,0.886969,0.12453499999999999,0.853628,0.326349,0.8254540000000001,1.8809069999999999,0.235454,1.293636,1.0854540000000001,0.346969,1.0918139999999998,0.8669690000000001,0.711558,2.400907,0.266969,0.605454,1.280907,0.8269690000000001,0.382721,0.305454,0.545454,1.050992,1.1054540000000002,1.022721,1.165454,0.9027209999999999,0.5609069999999999,0.7318180000000001
1,2,0,2.080726,1.9407259999999997,1.8407259999999999,2.140726,2.700726,2.060726,0.778454,2.240726,1.8007259999999998,1.3807260000000001,2.297858,2.560726,1.9407259999999997,1.120726,1.300726,2.452013,0.920726,1.520726,1.7407259999999998,1.420726,3.040726,1.8407259999999999,3.5807260000000003,1.914611,1.260726,1.440726,1.120726,1.9384540000000001,2.620726,1.000726,1.560726,2.140726,2.700726,3.340726,2.300726,2.3607259999999997,1.117256,2.060726,1.1407260000000001,2.180726,2.220726,1.8207259999999998,1.200726,1.180726,3.260726,0.900726,1.7602419999999999,2.040726,1.280726,2.680726,1.540726,1.3807260000000001,2.6182380000000003,1.080726,1.480726,1.838454,2.240726,1.120726,1.1407260000000001,1.260726,1.251943,1.7407259999999998,1.660726,1.880726,1.580726,1.3053629999999998,1.880726
2,2,1,2.468934,2.323036,2.025398,2.548934,3.5689339999999996,2.948934,1.608934,2.948934,2.428934,2.168934,3.288934,3.168934,2.948934,2.408934,1.8572240000000002,2.46489,1.668934,2.208934,2.388934,2.288934,4.503867,2.0263310000000003,5.16254,1.949961,2.548934,2.568934,1.868934,2.748934,3.168934,2.321497,1.828934,2.524736,3.4089339999999995,4.248933999999999,3.768934,3.008934,2.048934,2.482997,3.048934,2.599643,2.948934,2.666803,1.908934,2.588934,3.6613910000000005,1.468934,2.988934,3.128934,2.088934,3.7289339999999997,3.208934,3.4313519999999995,2.62966,1.8131560000000002,2.988934,2.448934,2.5076509999999996,1.828934,1.3889340000000001,1.928934,1.264367,2.746803,2.028934,2.946803,2.928934,2.448934,2.088533
3,2,2,2.975873,2.795873,2.395873,3.115873,4.015873,3.635873,2.075873,3.5758730000000005,2.955873,2.615873,3.7758730000000003,3.715873,3.675873,3.155873,2.295873,2.835873,2.2358729999999998,2.775873,3.015873,2.915873,5.015873,2.456553,5.835873,2.575873,3.095873,3.115873,2.655873,3.2158729999999998,3.8558730000000003,2.6958729999999997,2.395873,3.095873,4.335873,4.895873,4.595873,3.5558730000000005,2.895873,2.875873,3.9958730000000005,2.915873,3.7758730000000003,3.5358730000000005,2.915873,3.275873,4.015873,2.115873,3.4958730000000005,3.8158730000000003,2.915873,4.655873000000001,4.0758730000000005,3.8158730000000003,3.3158730000000003,2.295873,3.635873,2.895873,3.095873,2.575873,1.8158729999999998,2.555873,1.475873,3.4158730000000004,2.475873,3.5758730000000005,3.5358730000000005,3.075873,2.595873
4,3,0,3.414161,3.218322,2.698322,3.498322,4.418322,4.1383220000000005,2.4183220000000003,4.0983220000000005,3.3383220000000002,2.978322,4.078322,4.078322,4.158322,3.618322,2.698322,3.318322,2.618322,3.098322,3.518322,3.318322,5.494161,2.778322,6.318322,2.958322,3.538322,3.4383220000000003,3.178322,3.558322,4.298322,3.098322,2.818322,3.498322,4.818322,5.278322,5.158322,4.038322,3.3383220000000002,3.318322,4.378322,3.298322,4.378322,4.066644,3.318322,3.598322,4.258322,2.458322,3.9183220000000003,4.218322,3.458322,5.218322,4.498322,4.318322,3.718322,2.698322,4.058322,3.198322,3.518322,3.038322,2.158322,2.958322,1.858322,3.818322,2.818322,4.018322,3.8983220000000003,3.478322,2.958322
5,3,1,3.8598410000000003,3.8798410000000003,3.119841,3.9798410000000004,4.919841,4.779841,2.859841,4.679841000000001,3.8398410000000003,3.4198410000000004,4.479841,4.5998410000000005,4.619841,4.279841,3.199841,3.9798410000000004,3.119841,3.5296830000000003,4.199841,3.8398410000000003,5.959841,3.3198410000000003,7.08873,3.3798410000000003,4.079841,3.8998410000000003,3.759841,3.9998410000000004,4.759841000000001,3.5598410000000005,3.4290480000000003,4.0598410000000005,5.339841000000001,5.719841000000001,5.789683,4.679841000000001,3.8398410000000003,3.8198410000000003,4.899841,3.7798410000000002,5.399841,4.659841,3.8998410000000003,3.9998410000000004,4.699841,2.879841,4.459841,4.839841000000001,4.339841000000001,5.789683,5.079841,4.879841000000001,4.199841,3.199841,4.679841000000001,3.6398410000000005,4.079841,3.719841,2.619841,3.4198410000000004,2.2598409999999998,4.359841,3.3598410000000003,4.519841,4.319841,3.9798410000000004,3.4198410000000004
6,3,2,4.224238,4.196707,3.43678,4.6839,5.4439,5.2439,3.3039,5.2239,4.3439,3.8439,4.604962,5.1239,5.13678,4.8439,3.8839,4.483475,3.5839,4.0613,4.8039,4.5839,6.402317,3.8279669999999997,7.7439,3.9239,4.6439,4.4039,4.25565,4.4439,5.167967,4.2039,4.0239,4.540557,5.9239,6.1639,6.5239,5.4839,4.4439,4.3213,5.4439,4.2239,5.9839,5.1239,4.2439,4.5039,5.0639,3.2639,5.0839,5.3839,4.8839,6.3439,5.60695,5.6439,4.6389830000000005,3.7439,5.2239,4.0749,4.4013,4.2639,3.127967,3.9239,2.727967,5.0039,3.6839,4.878983,4.70695,4.29565,3.9039
7,4,0,4.873968,4.753968,3.833968,5.233968,6.113968,5.913968,3.853968,6.013968,4.853968,4.413968,5.133968,5.773968,5.797937,5.813968,4.413968,5.153968,4.093968,4.573968,5.393968,5.231984,7.073967999999999,4.473968,8.493967999999999,4.833968,5.217937,4.933968,4.893968,4.993968,5.633968,4.753968,4.7939680000000005,5.333968,6.413968,6.773967999999999,7.313967999999999,6.413968,4.993968,4.893968,6.2939680000000005,4.853968,6.833968,5.813968,4.753968,5.113968,5.513968,3.673968,5.7939680000000005,6.073968,5.613968,7.093967999999999,6.253968,6.337937,5.093968,4.213968,6.133968,4.513968,4.933968,5.073968,3.633968,4.493968,3.293968,5.613968,4.093968,5.413968,5.273968,4.713968,4.473968
8,4,1,5.547347,5.3673470000000005,4.047347,5.907347,6.671428999999999,6.587347,4.547347,6.687347,5.329116,5.107347,5.487347,6.387347,6.567347,6.487347,5.047347,5.767347,4.549705,4.967735,6.107347,5.887347,7.887347,5.1310839999999995,9.187347,5.499388,5.947347,5.828776,5.667347,5.687347,6.047347,5.407347,5.3673470000000005,6.287551000000001,7.3273470000000005,7.447347,8.207347,7.087347,5.567347,5.587347,6.967347,5.687347,8.207347,6.7873470000000005,5.2873470000000005,5.8273470000000005,6.047347,4.087347,6.527347,6.747347,6.167347,7.907347,7.067347,7.207347,5.747347,4.767347,6.986122,5.067347,5.547347,5.7873470000000005,4.007347,4.929705,3.967347,6.2873470000000005,4.429735,5.987347,5.8673470000000005,5.107347,4.987347
9,4,2,6.0510660000000005,5.811066,4.5110660000000005,6.431066,7.151066,7.531066,4.991066,7.291066000000001,5.811066,5.5510660000000005,5.751066000000001,6.971066,7.171066000000001,7.071066,5.751066000000001,6.211066000000001,5.0110660000000005,5.351066,6.671066000000001,6.531066,8.560533,5.371066000000001,9.760533,6.031066,6.486212999999999,6.371066000000001,6.331066000000001,6.150533,6.611066,5.991066,5.931066,7.006844,7.971066,7.8903550000000005,8.831066,7.811066,6.043689,6.126844,7.705266,6.2262129999999996,9.031066000000001,7.391066,5.806844,6.331066000000001,6.5110660000000005,4.411066,7.126213000000001,7.406844,6.711066000000001,8.591066,7.5910660000000005,7.880533,6.286213,5.231066,7.5910660000000005,5.5300970000000005,6.151066,6.326213,4.351066,5.360533,4.351066,6.831066000000001,4.891066,6.531066,6.471066,5.611066,5.471066
