,measure_number,beat_number,pid1263b-04,pid52932-19,pid9048b-08,pid9049b-04,pid9054b-04,pid9055b-04,pid9058b-04,pid9059b-08,pid9060b-02,pid9062b-07,pid9063b-08,pid9064-15,pid9066b-04,pid9069-04,pid9070b-16,pid9072b-08,pid9074g-04,pid9075b-04,pid9076-14,pid9077-02,pid9093b-10,pid9094b-04,pid9099b-08,pid9101b-15,pid9104b-04,pid9111b-06,pid9118b-08,pid9119-09,pid9139b-04,pid9158-10,pid9166k-05,pid9170b-04,pid9174b-04,pid9192b-04
0,1,0,0.853878,0.729388,1.833878,1.493878,0.777755,1.092653,0.157959,0.29387800000000003,0.47387799999999997,0.573878,1.153878,0.45387799999999995,1.6816330000000002,0.44551,0.593878,1.56551,2.793878,0.28163299999999997,1.3338780000000001,1.1138780000000001,1.6138780000000001,1.3738780000000002,0.361633,0.649388,0.641633,0.493878,1.9938779999999998,0.593878,2.033878,0.553878,1.3338780000000001,0.493878,0.337755,1.033878
1,1,1,1.414082,1.4246940000000001,2.928776,2.007347,1.318673,1.9673470000000002,0.607347,0.767347,0.9073469999999999,1.447347,1.5673469999999998,0.9473469999999999,3.204694,1.147347,1.047347,2.167347,3.227347,0.8873469999999999,1.787347,1.547347,2.267347,2.319388,1.267347,1.242041,1.527347,1.047347,2.5473470000000002,1.1273469999999999,2.771429,1.0873469999999998,1.807347,1.234082,1.007347,1.527347
2,1,2,2.045306,2.085306,3.6253059999999997,2.445306,1.805306,2.560612,1.215918,1.265306,1.515918,1.9653060000000002,2.045306,1.5453059999999998,3.7053059999999998,1.745306,1.625306,2.657653,3.6853059999999997,1.420612,2.2653060000000003,2.045306,2.7653060000000003,2.7853060000000003,1.7053060000000002,1.8665310000000002,2.025306,2.025306,3.025306,1.5653059999999999,3.147653,1.765306,2.185306,1.900612,1.5853059999999999,2.185306
3,2,0,2.640816,2.520816,4.560816,2.8208159999999998,2.240816,3.000816,1.680816,1.640816,1.9408159999999999,2.440816,2.420816,2.020816,4.1208160000000005,2.340816,2.080816,3.000816,4.060816,1.920816,2.640816,2.400816,3.220816,3.160816,2.080816,2.3208159999999998,2.400816,2.560816,3.4408160000000003,1.920816,3.6008160000000005,2.180816,2.520816,2.480816,1.980816,2.640816
4,2,1,3.2477549999999997,3.047755,5.207755000000001,3.3477550000000003,3.087755,3.647755,2.2277549999999997,2.187755,2.527755,3.007755,2.967755,2.687755,4.907755,2.927755,2.567755,3.5477550000000004,4.721019999999999,2.467755,3.187755,2.927755,4.187755,3.8677550000000003,2.64551,2.907755,2.907755,3.167755,4.047755,2.407755,4.287755000000001,2.7277549999999997,2.967755,3.207755,2.487755,3.287755
5,2,2,3.835918,3.535918,5.755918,3.6759180000000002,3.475918,4.4111839999999995,2.635918,2.595918,2.955918,3.795918,3.295918,3.115918,5.395918,3.555918,2.915918,4.175918,5.215918,2.815918,3.735918,3.515918,4.855918,4.3029589999999995,3.095918,3.335918,3.315918,4.295918,4.555918,2.772959,4.9159180000000005,3.112959,3.355918,3.6759180000000002,2.855918,4.095918
6,3,0,4.49102,4.011019999999999,6.511019999999999,4.07102,3.8910199999999997,4.89102,3.0110200000000003,3.15102,3.3910199999999997,4.29102,3.6710199999999995,3.4805099999999998,5.931019999999999,4.172041,3.3310199999999996,4.6310199999999995,5.53102,3.15102,4.41102,4.1710199999999995,5.1710199999999995,4.85102,3.63102,3.8910199999999997,3.7310199999999996,4.971019999999999,5.11102,3.1505099999999997,5.471019999999999,3.51102,3.8110199999999996,4.1710199999999995,3.15102,4.65102
7,3,1,5.213469,4.453469,7.313469,4.593469,4.373469,5.573469,3.433469,3.6734690000000003,3.873469,5.053469000000001,4.073469,3.921735,6.8534690000000005,4.773469,3.8978230000000003,5.173469,6.033469,3.7134690000000004,4.9334690000000005,4.713469,5.953469,5.553469000000001,4.253469,4.553469000000001,4.233469,5.533469,5.561735,3.5734690000000002,6.113469,4.033469,4.373469,5.273469,3.631735,5.713469
8,3,2,5.765306,5.005306,7.985306,4.955102,4.765306,6.025306,3.825306,4.065306,4.305306,5.625306,4.4453059999999995,4.265306,7.265306,5.395918,4.145306,5.625306,6.437653,4.145306,5.3653059999999995,5.125306,6.360612000000001,5.985306,4.725306,5.045306,4.625306,6.325305999999999,5.9453059999999995,3.937653,6.540612,4.4053059999999995,4.545306,5.665306,3.845306,6.165306
9,4,0,6.2681629999999995,5.328163,8.608163000000001,5.2681629999999995,5.166327,6.508163,4.2281629999999994,4.408163,4.748163,6.14449,4.8081629999999995,4.608162999999999,7.648163,5.946326999999999,4.488163,6.028163,6.728163,4.506327,5.708163,5.448163,6.788163000000001,6.346327,5.068162999999999,5.468163,4.988163,6.728163,6.388163,4.208163,6.8881630000000005,4.788163,4.848163,6.446326999999999,4.188162999999999,6.544490000000001
10,4,1,6.837142999999999,5.777143,9.197142999999999,5.717143,5.677143,7.017142999999999,4.677143,4.857143,5.237143,6.877142999999999,5.223571,5.117143,8.337143,6.637142999999999,4.977143,6.597142999999999,7.397142999999999,5.017143,6.197143,5.917143,7.417142999999999,6.897142999999999,5.557143,6.057143,5.457143,7.277143,6.897142999999999,4.657143,7.477142999999999,5.217143,5.297143,7.1171429999999996,4.614523999999999,7.217142999999999
11,4,2,7.514286,6.314286,9.814286,6.074286,6.114286,7.734286,5.354286,5.314286,5.7542860000000005,7.474286,5.594286,5.614286,8.794286,7.178571000000001,5.374286,7.094286,7.954286,5.454286,6.774286,6.534286,7.914286,7.334286,6.094286,6.494286,5.914286,8.254286,7.534286,5.094286,7.954286,5.654286,5.694286,7.694286,4.914286,7.894286
12,5,0,8.289388,6.769388,10.609388000000001,6.379694000000001,6.649388,8.369388,5.829388,5.869388,6.209388,8.269388000000001,5.959694,6.169388,9.269388000000001,7.789388000000001,5.7196940000000005,7.709388000000001,8.389388,5.819694,7.5893880000000005,7.349388,8.469388,7.849388,6.529388,7.029388000000001,6.389387999999999,8.809388,8.069388,5.519694,8.509388000000001,6.109388,6.189388,8.248776,5.2327699999999995,8.789388
13,5,1,9.101633,7.28309,11.461633,6.801633,7.177908,9.581633,6.6016330000000005,6.481633,6.701633,9.041633000000001,6.381633,6.861633,10.381633,8.401633,6.1016330000000005,8.481633,9.021633,6.20309,8.361633,8.121633000000001,9.181633,8.781633,7.181633000000001,7.881633,6.841633,9.461633,8.677375999999999,6.005816,9.381633,6.558953999999999,6.855816,9.121633000000001,5.641633000000001,9.421633
14,5,2,9.514694,7.894694,12.054694,7.119646,7.794694,10.314694,7.1346940000000005,7.1346940000000005,7.1346940000000005,9.774694,6.794694,7.5946940000000005,11.039388,8.974694,6.3891,9.134694,9.654694000000001,6.814694,9.114694,8.874694,9.834694,9.574694000000001,7.834694,8.490522,7.494694,10.114694,9.254694,6.694694,10.034694,7.078231,7.194694,9.954694,5.994694,10.074694000000001
15,6,0,10.105714,8.785714,12.965714,7.865714,8.645714,11.985714,7.985714,7.885714,7.785714,10.685714,7.185714,8.345714,12.141428999999999,9.625714,6.925714,10.005714,10.245714,7.605714,10.405714,10.165714,10.865714,10.325714,8.745714,8.985714,8.065714,11.385714,9.985714,7.485714,10.925714,7.645714,7.725714,10.765714,6.485714,10.625714
16,6,1,10.783265,9.643265,13.823265,8.483265,9.383265,12.743265,8.583264999999999,8.563265,8.283265,11.383265,7.543264999999999,9.483265,12.843264999999999,10.463265,7.363264999999999,10.703265,10.743265,8.223265,11.163264999999999,10.923264999999999,11.683264999999999,11.083264999999999,9.483265,9.523264999999999,8.803265,12.023264999999999,10.543265,8.223265,11.803265,8.183264999999999,8.223265,11.503264999999999,6.763265,11.403265
17,6,2,11.281224,10.181224,14.441223999999998,8.981224000000001,9.821224,13.381224,9.021224,9.061224000000001,8.781224,11.921224,7.935612,9.981224000000001,13.361223999999998,11.041224,7.781224000000001,11.201224,11.181224,8.741224,11.653741,11.415612,12.181224,11.815612,9.961224000000001,9.961224000000001,9.281224,12.501224,11.021224,8.641224000000001,12.461224000000001,8.561224000000001,8.581224,12.061224000000001,7.175611999999999,11.861224
18,7,0,11.857550999999999,10.677551,14.997551000000001,9.337551,10.177551,13.877551,9.417551,9.477551,9.197550999999999,12.317551,8.317551,10.485102000000001,13.805102,11.657551,8.177551,11.617550999999999,11.597551,9.117550999999999,12.037550999999999,11.817551,12.577551,12.217551,10.377550999999999,10.357550999999999,9.677551,12.897551,11.377550999999999,9.017551,12.945102,8.897551,8.957550999999999,12.605102,7.477550999999999,12.332653
19,7,1,12.390203999999999,11.290204,15.530204000000001,9.730203999999999,10.590204,14.290204000000001,9.770204,9.910204,9.690204,12.750204,8.670204,10.930204,14.370204000000001,12.250204,8.530204,12.030204,11.990203999999999,9.510204,12.490203999999999,12.250204,13.030102000000001,12.670204,10.810203999999999,10.790204,10.230203999999999,13.250204,11.790204,9.410204,13.410204,9.250204,9.390203999999999,13.150204,7.750203999999999,12.870408
20,7,2,12.926530999999999,11.706531,15.986531,10.066088,10.986531,14.706531,10.186531,10.326531,10.106531,13.166530999999999,9.046531,11.366531,14.766531,12.666530999999999,8.946531,12.446531,12.426530999999999,9.888264999999999,12.906531,12.666530999999999,13.406531,13.066531,11.226531,11.226531,10.646531,13.666530999999999,12.206531,9.766531,13.826531,9.606531,9.726531,13.626531,8.102177000000001,13.346531
21,8,0,13.470204,12.230203999999999,16.430204,10.430204,11.410204,15.210204000000001,10.710204,10.710204,10.590204,13.770204000000001,9.430204,12.050203999999999,15.210204000000001,13.410204,9.350204,12.930204,12.810203999999999,10.270204,13.530204000000001,13.290204000000001,13.790204000000001,13.530204000000001,11.710204,11.690204,11.290204,14.270204000000001,12.670204,10.150203999999999,14.470204,9.990203999999999,10.110204,14.230204,8.430204,13.870204000000001
22,8,1,14.292245000000001,13.032245,17.092245000000002,10.872245,12.172245,16.192245,11.352245,11.412245,11.052245,14.512245000000002,9.952245,12.892244999999999,15.952245000000001,14.152245,10.052245,13.552245000000001,13.432245000000002,10.912245,14.412245,14.172245000000002,14.532245000000001,14.292245000000001,12.612245,12.392244999999999,12.132245,14.992245,13.452245000000001,10.712245,15.259184,10.652244999999999,10.712245,15.028163000000001,8.952245,14.630204
23,8,2,14.983673000000001,13.480735000000001,17.423673,11.443673,12.743673,17.323673,11.903673,11.983673,11.532278999999999,15.046837,10.192735,13.463673000000002,16.583673,14.798418,10.283673,14.043673000000002,13.763673,11.454558,14.983673000000001,14.743673000000001,15.078418,15.143673000000001,13.027891,13.083673,13.003673,15.452735,14.203673,10.963673,16.103673,11.203673,10.983417999999999,15.983673000000001,9.273061,15.463673000000002
24,9,0,15.556735,13.976735000000001,18.176735,11.956735,13.116735,18.143469,12.396735000000001,12.636735,11.956735,15.716735,10.576735000000001,14.076735000000001,17.016735,15.636735,10.696735,14.616735,14.216735,11.976735000000001,15.456735,15.216735,15.716735,15.796735,13.716735,13.896735000000001,13.576735000000001,16.176735,14.872245000000001,11.356735,16.756735,11.676735,11.556735,16.756735,9.696735,16.156735
25,9,1,16.085306,14.625306,18.885306,12.585306,13.745306,19.265306,12.905306,13.265305999999999,12.645306,16.612448999999998,11.145306,15.045306,17.905306,16.465305999999998,11.125306,15.225306,14.845305999999999,12.545306,16.065306,15.825306,16.325306,16.785306,14.425305999999999,14.905306,14.385306,17.265306,15.425305999999999,11.885306,17.385306,12.205306,12.185306,17.485306,10.305306,16.885306
26,9,2,16.489694,15.069388,19.313878,12.889388,13.969388,19.789388,13.049388,13.869388,13.029388,17.329388,11.409694,15.649388,18.369388,16.889388,11.389388,15.889388,15.489388,13.009388000000001,16.669388,16.429388,16.763799,17.129388,14.929388000000001,15.149388,14.829388,17.909388,15.729388,12.549388,18.009388,12.569388,12.549388,18.089388,10.729388,17.249388
27,10,0,17.066531,15.506530999999999,19.746531,13.246531,14.286531,20.626531,13.406531,14.326531,13.526531,18.046530999999998,11.786531,16.226531,19.166531,17.506531,11.886531,16.566531,15.866531,13.446531,17.346531,17.126531,17.106531,17.746531,15.366531,15.506530999999999,15.266531,18.946531,16.086531,13.226531,18.526531,13.086530999999999,13.066531,18.643061,11.166530999999999,17.686531
28,10,1,17.616327,16.076327,20.256327,13.656327,14.656327,21.276327,13.736327,14.816327,14.056327,18.656326999999997,12.156327000000001,17.256327,19.916327,18.282653,12.356327,17.096327,16.316326999999998,13.876326999999998,17.896327,17.676327,17.596327,18.376327,15.856326999999999,15.936326999999999,15.956326999999998,19.516327,16.496326999999997,13.716327,19.036327,13.476327,13.516326999999999,19.216327,11.456327,18.376327
29,10,2,18.077143,16.557143,20.757143,14.097142999999999,14.997143,21.797143,14.097142999999999,15.257143,14.497143,19.217143,12.557143,17.697143,20.457143,18.877143,12.717143,17.577143,16.757143,14.277142999999999,18.337142999999998,18.112381,17.973571,18.817142999999998,16.233570999999998,16.353571,16.397143,19.917143,16.897143,14.057143,19.544286,13.857142999999999,13.857142999999999,19.757143,11.833571000000001,18.884286
