,measure_number,beat_number,pid1263b-06,pid52932-21,pid53576-04,pid610003b-10,pid9048b-10,pid9049b-06,pid9049b-24,pid9050b-06,pid9052b-11,pid9054b-06,pid9055b-06,pid9058b-06,pid9059b-10,pid9060b-04,pid9061b-03,pid9062b-09,pid9063b-10,pid9064-17,pid9065-22,pid9066b-06,pid9069-06,pid9070b-18,pid9072b-10,pid9073b-10,pid9074g-06,pid9075b-06,pid9076-16,pid9077-04,pid9085-20,pid9089-13,pid9090-17,pid9093b-12,pid9094b-06,pid9099b-10,pid9104b-06,pid9111b-08,pid9115-10,pid9116-12,pid9118b-10,pid9119-10,pid9137-18,pid9138b-06,pid9139b-06,pid9153b-06,pid9158-03,pid9166k-07,pid9170b-06,pid9174b-06,pid9179-08,pid9182-06,pid9192b-06
0,1,2,0.981224,0.6612239999999999,0.301224,2.441224,1.581224,1.361224,2.1812240000000003,0.621224,1.9012240000000002,1.221224,0.941224,0.101224,0.301224,0.501224,0.721224,0.777806,1.461224,0.441224,1.201224,1.221224,0.46122399999999997,0.501224,1.541224,1.141224,1.441224,0.24122399999999997,1.532449,1.521224,0.9212239999999999,2.021224,1.161224,0.965612,0.941224,0.361224,0.545612,0.181224,1.261224,0.901224,2.061224,0.32122399999999995,0.701224,0.621224,0.932449,0.561224,0.481224,0.941224,0.40122399999999997,0.281224,0.26122399999999996,0.421224,0.501224
1,2,0,1.700045,1.3200450000000001,0.9000450000000001,3.260045,2.380045,2.020045,2.900045,1.140045,2.7741700000000002,1.960045,1.890091,0.9200450000000001,0.980045,1.020045,1.780045,1.6200450000000002,2.380045,1.400045,1.880045,1.920045,1.3400450000000002,1.480045,2.2200450000000003,1.640045,2.080045,1.0800450000000001,2.280045,2.260045,1.420045,2.620045,1.680045,1.740045,1.960045,1.240045,1.460045,1.380045,2.260045,1.6000450000000002,2.880045,1.040045,1.520045,1.460045,1.6200450000000002,1.5800450000000001,1.200045,1.960045,1.280045,1.0800450000000001,1.0800450000000001,1.140045,1.480045
2,2,1,2.513585,2.109433,2.209433,4.055633,3.459858,3.149433,3.729433,1.8539430000000001,3.579717,3.187166,3.3494330000000003,1.697887,2.069433,1.854929,2.7494330000000002,2.509433,3.529433,2.2894330000000003,2.689433,3.327732,2.3894330000000004,2.7494330000000002,3.169717,2.336619,2.809717,1.9894330000000002,3.549433,3.549433,1.9094330000000002,3.4631440000000002,2.629433,3.189433,3.028866,2.169433,2.929433,3.2694330000000003,3.168299,2.729433,3.737887,1.689811,2.7882990000000003,2.3365720000000003,2.529433,2.669433,2.209433,2.8294330000000003,2.509433,1.9565720000000002,1.8584900000000002,1.9097169999999999,2.469433
3,2,2,2.65102,2.41102,2.59102,4.431019999999999,3.7910199999999996,3.63102,4.23102,2.07102,3.9510199999999998,3.7510199999999996,3.7710199999999996,2.07102,2.5310200000000003,2.17102,3.2910199999999996,2.93102,3.9510199999999998,2.69102,3.11102,4.011019999999999,2.83102,3.19102,3.57102,2.59102,3.27102,2.43102,4.07102,4.091019999999999,2.29102,3.9110199999999997,2.9910200000000002,3.6510199999999995,3.63102,2.67102,3.4110199999999997,4.15102,3.7910199999999996,3.15102,4.11102,2.0310200000000003,3.3910199999999997,2.61102,2.95102,3.15102,2.63102,3.25102,3.0510200000000003,2.29102,2.25102,2.23102,2.93102
4,3,0,3.047302,2.729101,2.987302,4.907302,4.167301999999999,4.007301999999999,4.7473019999999995,2.407302,4.267302,4.207301999999999,4.147302,2.487302,3.047302,2.567302,3.8473019999999996,3.4673019999999997,4.307302,3.207302,3.4873019999999997,4.627301999999999,3.4273019999999996,3.607302,4.087301999999999,2.947302,3.7473019999999995,2.887302,4.547301999999999,4.527302,2.6073020000000002,4.367302,3.3273019999999995,4.047301999999999,4.207301999999999,3.147302,4.007301999999999,4.807302,4.3273019999999995,3.5073019999999997,4.507301999999999,2.367302,3.9473019999999996,2.987302,3.3673019999999996,3.667302,3.007302,3.667302,3.5273019999999997,2.667302,2.707302,2.707302,3.4273019999999996
5,3,1,3.4963269999999995,3.133163,3.4763269999999995,5.416327,4.576327,4.5163269999999995,5.296327,2.856327,4.656327,4.776326999999999,4.636327,2.916327,3.6163269999999996,3.016327,4.396326999999999,3.896327,4.816326999999999,3.6763269999999997,4.042653,5.4363269999999995,3.9763269999999995,4.096327,4.636327,3.356327,4.236326999999999,3.396327,5.0163269999999995,5.0163269999999995,3.056327,4.836327,3.7763269999999998,4.456327,4.836327,3.6563269999999997,4.776326999999999,5.396326999999999,4.916327,3.856327,5.056327,2.736327,4.416327,3.376327,4.076327,4.156327,3.356327,4.156327,4.116327,3.136327,3.236327,3.236327,4.216327
6,3,2,3.949898,3.5697959999999997,3.949796,5.909796,5.029898,4.909796,5.709796,3.229796,5.069796,5.249796,5.189796,3.329796,4.109796,3.5097959999999997,4.909796,4.369796,5.289796,4.129796,4.609796,5.929796,4.589796,4.629796,5.149796,3.729796,4.749796,3.789796,5.429796,5.409898,3.449796,5.229959,4.1699660000000005,4.8498980000000005,5.3097959999999995,4.069898,5.209932,6.289796,5.389796,4.189796,5.389974,3.149796,4.989796,3.789796,4.509898000000001,4.689796,3.729796,4.649592,4.649796,3.729796,3.729796,3.709796,4.8097959999999995
7,4,0,4.4159180000000005,3.9929589999999995,4.395918,6.355918,5.451973000000001,5.282959,6.082959,3.595918,5.495918,5.755918,5.675918,3.775918,4.575918,3.955918,5.395918,4.815918,5.795918,4.515918,4.955918,6.355918,5.135918,5.155918,5.661837,4.095918,5.211973,4.195918,5.855918,5.855918,3.775918,5.715918,4.515918,5.292959,5.655918,4.495918,5.615918,6.755917999999999,5.835918,4.535918,5.855918,3.555918,5.535918,4.195918,4.955918,5.195918,4.055918,4.935918,5.095918,4.095918,4.155918,4.195918,5.395918
8,4,1,5.088163,4.468163,4.908163,6.948163,5.909082,5.828163,6.648163,4.148162999999999,5.948163,6.368163,6.328163,4.2681629999999995,5.168163,4.428163,6.108162999999999,5.328163,6.408163,5.088163,5.408163,6.9681630000000006,5.708163,5.628163,6.428163,4.648162999999999,5.7281629999999994,4.7281629999999994,6.448163,6.428163,4.368163,6.208163,5.088163,5.8081629999999995,6.2681629999999995,4.968163,6.3081629999999995,7.4281630000000005,6.508163,4.988163,6.508163,4.028163,6.148162999999999,4.628163,5.528163,5.8081629999999995,4.428163,5.388163,5.788163,4.588163,4.7681629999999995,4.708163,6.128163
9,4,2,5.630204,5.030204,5.576735,7.750203999999999,6.463401,6.3634010000000005,7.200050999999999,4.850204,6.670203999999999,7.010203999999999,7.310204,4.950204,5.750204,4.930204,6.830203999999999,5.996735,7.1102039999999995,5.930204,6.050204,7.910203999999999,6.430204,6.411554,7.180102000000001,5.310204,6.450204,5.303401,7.150204,7.130203999999999,5.016701,6.850204,5.623401,6.500102,7.050203999999999,5.6902040000000005,7.010203999999999,8.580102,7.350204,5.610204,7.130203999999999,4.683401,7.090203999999999,5.070204,6.110204,6.510204,4.970204,6.076735,6.750203999999999,5.310204,5.490204,5.330204,6.970203999999999
