,measure_number,beat_number,pid5667203-03,pid58917-01,pid610003b-11,pid9048b-11,pid9050b-07,pid9054b-07,pid9055b-07,pid9058b-07,pid9059b-11,pid9062b-10,pid9063b-11,pid9064-18,pid9065-23,pid9068-16,pid9072b-11,pid9073b-11,pid9079-06,pid9081-07,pid9085-21,pid9090-18,pid9093b-13,pid9094b-07,pid9099b-11,pid9101c-01,pid9111b-09,pid9115-09,pid9118b-11,pid9133-07,pid9138b-07,pid9139b-07,pid9149-12,pid9153b-07,pid9157-10,pid9158-09,pid9174b-07,pid917506-05,pid9179-09,pid918807-12,pid918821-09,pid918824-05,pid9192b-07
0,1,0,1.49675,1.090249,3.030249,1.6712470000000001,0.69675,1.070249,0.850249,0.200125,0.290249,0.690249,1.910249,0.39024899999999996,1.570249,0.090249,0.79675,1.050249,1.630249,1.350249,1.335062,2.530249,0.870125,1.3707479999999999,0.33124699999999996,1.030249,0.171247,1.290748,2.010249,0.8702489999999999,0.8702489999999999,0.810083,0.5550619999999999,0.540125,0.46006199999999997,0.6102489999999999,0.27024899999999996,1.230249,0.300062,1.410249,0.6102489999999999,1.1702489999999999,0.813375
1,1,1,2.119138,1.6391380000000002,3.599138,2.359138,1.179138,1.5191379999999999,1.359138,0.8391379999999999,0.859138,1.139138,2.4191380000000002,0.879138,2.399138,0.5991380000000001,1.359138,1.579138,2.219138,1.8791380000000002,1.7991380000000001,3.059138,1.319138,2.059138,1.039138,1.679138,0.799138,1.919138,2.659138,1.359138,1.339138,1.339138,1.139138,1.079138,0.8991379999999999,1.099138,0.859138,2.119138,0.799138,1.759138,1.179138,1.8591380000000002,1.2791379999999999
2,1,2,2.741587,2.141587,4.161587,3.141587,1.7615869999999998,1.941587,1.921587,1.521587,1.3815870000000001,1.661587,2.9615869999999997,1.4215870000000002,3.041587,1.0857940000000001,1.885794,2.161587,2.741587,2.3657939999999997,2.241587,3.5815870000000003,1.795794,2.621587,1.465794,2.181587,1.461587,2.348598,3.105794,1.865794,1.8615869999999999,1.845794,1.7815869999999998,1.5457940000000001,1.3157940000000001,1.581587,1.465794,2.741587,1.4215870000000002,2.281587,1.7815869999999998,2.641587,1.8215869999999998
3,2,0,3.2988660000000003,2.718866,4.878866,3.8188660000000003,2.478866,2.318866,2.498866,2.238866,1.938866,2.258866,3.4988660000000005,1.878866,3.638866,1.498866,2.438866,2.958866,3.238866,2.858866,2.6988659999999998,4.098866,2.338866,3.1988659999999998,1.978866,2.632217,1.958866,2.838866,3.5788660000000005,2.338866,2.358866,2.298866,2.618866,2.064433,1.798866,2.0322169999999997,1.818866,3.158866,1.938866,2.878866,2.418866,3.178866,2.258866
4,2,1,4.070975,3.350975,5.610975,4.450975,3.190975,2.790975,2.950975,2.930975,2.530975,2.700488,3.990975,2.330975,4.590975,2.230975,3.110975,3.590975,3.870975,3.450975,3.090975,4.610975,2.890975,3.970975,2.610975,3.090975,2.410975,3.430975,4.090975,2.930975,2.756992,2.870975,3.350975,2.650975,2.430975,2.510975,2.250975,3.690975,2.630975,3.290975,2.990975,3.850975,2.710975
5,2,2,5.003401,4.241134,6.4611339999999995,5.221133999999999,4.081134,3.175567,3.6811339999999997,3.801134,3.181134,3.137783,4.493711,2.881134,5.241134,2.621134,3.9211339999999995,4.625873,4.681133999999999,4.101134,3.6811339999999997,5.217783,3.535567,5.112268,3.213459,3.7411339999999997,3.017783,4.101134,4.901134,3.861134,3.241134,3.433711,4.241134,3.181134,3.141134,3.115567,2.673711,4.010358999999999,3.241134,4.0011339999999995,3.6611339999999997,4.881133999999999,3.293711
6,3,0,5.757732,4.957732,7.417732000000001,6.035057,5.037732,3.497732,4.577732,4.577732,3.877732,3.6638660000000005,5.117732,3.183866,6.237732,3.117732,4.657732,5.437732,5.537732,4.857732,3.905911,5.877732,4.437732,6.537732,3.757732,4.357732,3.837732,4.777732,5.577732,4.737732,3.586933,3.965911,5.177732,3.797732,3.817732,3.917732,3.017732,4.050968,3.917732,4.757732,4.337732,5.617732,3.897732
7,3,1,6.196961,5.496961,7.996961,6.836961,5.596961,3.896961,4.976961,5.116961,4.376961,4.116961,5.616961,3.676961,6.7969610000000005,3.476961,5.156961,5.976961,6.076961,5.376961,4.356961,6.336961,4.936961,7.096961,4.176961,4.776961,4.276961,5.256961,5.996961,5.216961,3.936961,4.436961,5.696961,4.2969610000000005,4.236961,4.356961,3.3234809999999997,4.0580989999999995,4.456961,5.136961,4.756961,6.1639230000000005,4.2969610000000005
8,3,2,6.641361,6.061361,8.701361,7.481361,6.3213610000000005,4.301361,5.461361,5.761361,4.841361,4.761361,6.101361,4.181361,7.561361,3.921361,5.641361,6.721361,6.581361,5.8613610000000005,4.881361,6.761361,5.44568,7.701361,4.621361,5.221361,4.761361,5.701361,6.501361,5.681361,4.3613610000000005,4.921361,6.401361,4.781361,4.681361,4.8213610000000005,3.681361,4.064734,5.101361,5.601361,5.281361,6.8213610000000005,4.801361
9,4,0,7.070930000000001,6.67093,9.25093,8.11093,6.85093,4.650930000000001,5.89093,6.37093,5.27093,5.27093,6.690930000000001,4.73093,8.03093,4.29093,6.110930000000001,7.27093,7.05093,6.4509300000000005,5.35093,7.175232,5.83093,8.17093,5.110930000000001,5.63093,5.25093,6.05093,7.030930000000001,6.09093,4.690930000000001,5.37093,6.920464999999999,5.21093,5.070930000000001,5.33093,3.990465,4.090247,5.570930000000001,6.01093,5.81093,7.29093,5.17093
