,measure_number,beat_number,pid1263b-08,pid5667203-04,pid5667207-03,pid58917-02,pid6100022-02,pid6100022-05,pid610003b-12,pid9048b-12,pid9049b-08,pid9050b-08,pid9054b-08,pid9055b-08,pid9058b-08,pid9059b-12,pid9060b-06,pid9061b-05,pid9062b-11,pid9063b-12,pid9064-19,pid9065-24,pid9066b-08,pid9068-17,pid9069-08,pid9070b-20,pid9072b-12,pid9073b-12,pid9074g-08,pid9075b-08,pid9079-07,pid9089-03,pid9090-19,pid9093b-14,pid9094b-08,pid9099b-12,pid9101c-02,pid9103-18,pid9104b-08,pid9111b-10,pid9118b-12,pid9119-12,pid9129-22,pid9133-08,pid9138b-08,pid9139b-08,pid9149-13,pid9153b-08,pid9157-11,pid9166l-02,pid9170b-08,pid9174b-08,pid917506-06,pid9179-10,pid918807-13,pid918821-10,pid918824-06,pid9192b-08
0,1,0,0.751837,0.791837,2.3918369999999998,2.691837,0.49183699999999997,0.411837,1.9918369999999999,1.6718369999999998,1.7518369999999999,0.609744,1.491837,1.011837,0.13183699999999998,0.271837,0.571837,1.011837,0.691837,1.5518370000000001,0.391837,1.5318370000000001,1.251837,0.211837,0.7118369999999999,0.631837,0.751837,1.191837,1.871837,0.271837,0.731837,1.9518369999999998,2.106531,1.391837,0.8718370000000001,0.291837,0.551837,0.43183699999999997,0.8718370000000001,0.151837,2.093673,0.411837,0.391837,0.771837,0.831837,0.811837,0.591837,0.551837,1.0518370000000001,1.5718370000000002,0.751837,0.351837,0.9918370000000001,0.271837,1.651837,0.771837,1.171837,0.771837
1,1,1,1.6,1.6,3.1775,3.1239999999999997,1.24,1.08,2.8,2.4,2.42,1.28,2.24,1.82,0.94,0.98,1.14,2.4,1.5,2.4,1.06,2.36,2.08,1.02,1.68,1.32,1.36,1.88,2.58,0.92,1.54,2.76,3.14,1.98,1.64,1.04,1.26,1.24,1.82,0.88,2.96,1.11,1.2,1.58,1.64,1.48,1.4,1.2,1.26,2.24,1.42,1.18,1.8,1.08,2.46,1.58,1.98,1.34
2,1,2,2.260408,2.440408,3.360408,3.6004080000000003,1.669128,1.600408,3.420408,3.030816,3.040408,1.900408,2.820408,2.440408,1.560408,1.387724,1.6804080000000001,3.360408,2.1404080000000003,2.960408,2.040408,2.900408,2.540408,1.640408,2.380408,1.9804080000000002,1.9604080000000002,2.500408,3.1404080000000003,1.560408,2.1604080000000003,3.2004080000000004,3.760408,2.5804080000000003,2.1804080000000003,1.427041,1.775204,1.8204080000000002,2.6604080000000003,1.500408,3.5804080000000003,1.620408,1.775204,2.1404080000000003,2.260408,2.1004080000000003,1.9404080000000001,1.961224,1.880408,2.820408,2.020408,1.8004080000000002,2.540408,1.7004080000000001,3.500408,2.0911560000000002,2.740408,1.7804080000000002
3,2,0,2.756735,2.876735,3.656735,4.036735,1.996735,1.8767349999999998,3.836735,3.4967349999999997,3.396735,2.356735,3.256735,3.0367349999999997,1.996735,1.756735,2.0533669999999997,3.776735,2.5767349999999998,3.396735,2.4367349999999997,3.356735,2.876735,1.976735,3.4167349999999996,2.4367349999999997,2.296735,2.9567349999999997,3.4567349999999997,1.8967349999999998,2.5567349999999998,3.596735,4.176735,2.9167349999999996,2.5767349999999998,1.7967349999999997,2.072245,2.116735,3.196735,1.9167349999999999,4.056735,1.9167349999999999,2.296735,2.596735,2.756735,2.5767349999999998,2.332245,2.4767349999999997,2.336735,3.116735,2.4567349999999997,2.236735,2.9767349999999997,2.116735,4.016735,2.296735,3.196735,2.116735
4,2,1,3.1204080000000003,3.240408,3.980136,4.3604080000000005,2.320408,2.1404080000000003,4.220408,3.920408,3.780408,2.760408,3.5734690000000002,3.338801,2.380408,2.1204080000000003,2.360408,4.260408,2.885204,3.800408,2.840408,3.645204,3.1604080000000003,2.340408,4.100408,2.820408,2.6204080000000003,3.340408,3.800408,2.260408,2.940408,4.020408,4.580408,3.260408,2.940408,2.1004080000000003,2.3280819999999998,2.480408,3.5804080000000003,2.240408,4.4004080000000005,2.260408,2.5884009999999997,3.0604080000000002,3.1004080000000003,2.957602,2.6404080000000003,2.880408,2.7204080000000004,3.405204,2.880408,2.6204080000000003,3.360408,2.500408,4.380408,2.6604080000000003,3.6204080000000003,2.440408
5,2,2,3.5886730000000004,3.7543370000000005,4.329116,4.907347,2.647347,2.467347,4.767347,4.3673470000000005,4.167347,3.207347,3.987347,3.807347,2.707347,2.5496209999999997,2.907347,4.924694000000001,3.3491160000000004,4.2873470000000005,3.267347,4.087347,3.507347,2.847347,4.962041,3.227347,2.987347,3.807347,4.3273470000000005,2.667347,3.327347,4.427347,5.087347,3.6073470000000003,3.307347,2.5673470000000003,2.727347,2.907347,3.947347,2.787347,4.807347,2.6073470000000003,3.207347,3.747347,3.6273470000000003,3.407347,3.1273470000000003,3.367347,3.167347,3.907347,3.407347,3.0673470000000003,3.687347,3.0473470000000002,4.8673470000000005,3.0473470000000002,4.427347,2.867347
6,3,0,4.024694,4.107347,4.747347,5.3673470000000005,3.007347,2.827347,5.167347,4.8673470000000005,4.547347,3.6273470000000003,4.444694,4.247347,3.147347,2.947347,3.267347,5.507347,3.727347,4.767347,3.687347,4.467347,3.887347,3.207347,5.784694,3.6273470000000003,3.347347,4.207347,4.747347,3.1073470000000003,3.747347,4.8273470000000005,5.504694000000001,3.967347,3.687347,2.887347,3.0473470000000002,3.467347,4.3273470000000005,3.1073470000000003,5.147347,2.987347,3.727347,4.127347,4.027347,3.827347,3.507347,3.767347,3.6073470000000003,4.3273470000000005,3.767347,3.407347,4.067347,3.467347,5.2873470000000005,3.487347,4.847347,3.267347
7,3,1,4.571837,4.531837,5.120918,5.791837,3.3506120000000004,3.171837,5.591837,5.291837,4.911837,4.031837,4.971837,4.7318370000000005,3.5518370000000004,3.390918,3.6518370000000004,6.031837,4.1918370000000005,5.211837,4.211837,4.951837,4.240918,3.6918370000000005,6.471837,3.9718370000000003,3.6918370000000005,4.631837,5.131837,3.5318370000000003,4.171837,5.211837,5.971837,4.291837,4.111837,3.311837,3.4318370000000002,3.891837,4.791837,3.4918370000000003,5.571837,3.391837,4.151837,4.571837,4.471837,4.251837,3.891837,4.151837,4.171837,4.791837,4.251837,3.771837,4.491837,3.871837,5.671837,3.891837,5.291837,3.6518370000000004
8,3,2,5.034286,5.074286,5.534286,6.314286,3.586518,3.574286,6.114286,5.7942860000000005,5.2942860000000005,4.494286,5.354286,5.014286,3.954286,3.674286,4.042143,6.614286,4.734286,5.714286,4.634286,5.314286,4.614286,4.054286,6.994286,4.394286,3.9942860000000002,5.094286,5.514286,3.974286,4.604048000000001,5.634286,6.414286,4.654286,4.414286,3.814286,3.834286,4.16869,5.354286,3.954286,6.094286,3.774286,4.674286,4.954286,4.834286,4.654286,4.2542860000000005,4.594286,4.742857,5.314286,4.654286,4.2942860000000005,5.014286,4.394286,6.094286,4.234286,5.674286,4.074286
9,4,0,5.403265,5.563265,5.983265,6.763265,3.9965309999999996,3.883265,6.5632649999999995,6.1466330000000005,5.6832650000000005,4.923265,5.583265,5.368653,4.3483160000000005,4.163265,4.363265,7.116531,5.107755,6.123265,5.203265,5.563265,5.063265,4.443265,7.883265,4.743265,4.403265,5.523265,5.807755,4.283265,4.983265,6.063265,6.823264999999999,5.028653,4.7632650000000005,4.106633,4.123265,4.523265,5.803265000000001,4.283265,6.543265,4.063265,5.196530999999999,5.363265,5.243265,5.048316000000001,4.643265,5.003265,5.2632650000000005,5.703265,5.103265,4.703265,5.583265,4.843265,6.463265,4.583265,6.103265,4.363265
