,measure_number,beat_number,pid1263b-09,pid5667203-05,pid5667249-18,pid58917-03,pid59340-11,pid6100022-03,pid6100022-06,pid610003b-13,pid9048b-13,pid9049b-09,pid9050b-09,pid9054b-09,pid9055b-09,pid9056-14,pid9058b-09,pid9059b-13,pid9060b-07,pid9061b-06,pid9062b-12,pid9063b-13,pid9065-25,pid9066b-09,pid9068-18,pid9069-09,pid9070b-21,pid9072b-13,pid9073b-13,pid9074g-09,pid9075b-09,pid9079-08,pid9089-04,pid9093b-15,pid9094b-09,pid9097-21,pid9099b-13,pid9101c-03,pid9104b-09,pid9111b-11,pid9116-14,pid9118b-13,pid9133-09,pid9137-19,pid9138b-09,pid9139b-09,pid9149-14,pid9153b-09,pid9157-12,pid9158-15,pid9166l-03,pid9174b-09,pid917506-07,pid9179-11,pid918807-14,pid918821-11,pid918824-07,pid9192b-09
0,1,2,0.709337,0.627347,1.507347,0.847347,0.34734699999999996,1.027347,0.507347,3.687347,1.6673470000000001,1.247347,0.667347,1.147347,0.867347,0.367347,0.107347,0.28734699999999996,0.48734700000000003,1.427347,0.687347,2.0273470000000002,1.6273469999999999,0.9473469999999999,0.107347,0.467347,0.467347,0.787347,0.8273469999999999,1.287347,0.24734699999999998,0.867347,2.0273470000000002,0.8873469999999999,0.8273469999999999,0.567347,0.367347,0.567347,0.48734700000000003,0.148673,1.008673,2.0673470000000003,1.167347,0.767347,0.507347,0.7273470000000001,0.547347,0.528673,0.44867299999999993,0.48734700000000003,0.767347,0.307347,0.668673,0.168673,1.167347,0.668673,0.847347,0.507347
1,2,0,1.190612,0.9306120000000001,1.9906119999999998,1.550612,0.790612,1.670612,0.9306120000000001,4.250612,2.1306119999999997,1.650612,1.290612,1.7906119999999999,1.550612,0.8306120000000001,0.650612,0.770612,1.010612,1.9906119999999998,1.290612,2.6306119999999997,2.190612,1.6306120000000002,1.010612,1.431224,1.010612,1.190612,1.410612,1.7906119999999999,0.770612,1.3506120000000001,2.531837,1.430612,1.432449,0.850612,0.8906120000000001,1.0706120000000001,1.1106120000000002,0.790612,1.5706120000000001,2.910612,1.7506119999999998,1.250612,1.030612,1.230612,1.170612,1.050612,1.0906120000000001,0.970612,1.3306120000000001,0.870612,1.1506120000000002,0.730612,1.510612,1.170612,1.3906120000000002,1.170612
2,2,1,1.8069389999999999,1.426939,2.486939,2.126939,1.2869389999999998,2.086939,1.386939,4.806939,2.466939,2.146939,1.946939,2.326939,2.126939,1.266939,1.0869389999999999,1.186939,1.626939,2.626939,1.726939,3.266939,2.826939,2.406939,1.966939,2.406939,1.5469389999999998,1.646939,2.106939,2.246939,1.266939,1.766939,2.986939,1.838469,1.946939,1.5869389999999999,1.298469,1.486939,2.146939,1.2869389999999998,2.015646,3.526939,2.246939,1.706939,1.606939,1.686939,1.5869389999999999,1.5669389999999999,1.606939,1.466939,1.746939,1.466939,1.706939,1.2869389999999998,2.2069389999999998,1.646939,1.926939,1.626939
3,2,2,2.1987759999999996,1.8387759999999997,2.8387759999999997,2.478776,1.6787759999999998,2.438776,1.6987759999999998,5.178776,2.878776,2.618776,2.478776,2.6987759999999996,2.518776,1.6587759999999998,1.464388,1.558776,1.9787759999999999,3.018776,2.118776,3.618776,3.138776,3.2387759999999997,2.418776,3.047551,2.038776,1.9987759999999999,2.618776,2.558776,1.6387759999999998,2.124388,3.4187760000000003,2.2187759999999996,2.2987759999999997,2.098776,1.634388,1.798776,2.618776,1.6587759999999998,2.314388,3.8987760000000002,2.638776,2.078776,1.9787759999999999,2.138776,1.9387759999999998,1.9587759999999999,1.9987759999999999,1.818776,2.138776,1.818776,2.078776,1.6587759999999998,2.598776,2.004388,2.3387759999999997,1.9187759999999998
4,3,0,2.576327,2.076327,3.056327,2.756327,1.9163270000000001,2.656327,1.9163270000000001,5.456327,3.176327,2.896327,2.696327,2.956327,2.7963270000000002,1.9163270000000001,1.6963270000000001,1.836327,2.256327,3.296327,2.436327,3.896327,3.416327,3.7763269999999998,2.736327,3.4963269999999995,2.396327,2.256327,2.856327,2.916327,1.876327,2.376327,3.6963269999999997,2.476327,2.576327,2.416327,1.876327,2.036327,3.016327,1.9363270000000001,2.556327,4.156327,2.856327,2.356327,2.236327,2.393163,2.176327,2.216327,2.276327,2.036327,2.416327,2.076327,2.3363270000000003,1.9363270000000001,2.856327,2.236327,2.596327,2.156327
5,3,1,2.8693880000000003,2.309388,3.3287760000000004,3.009388,2.227551,2.9093880000000003,2.169388,5.748163,3.489388,3.169388,3.048163,3.268163,3.049388,2.169388,1.9687759999999999,2.109388,2.5687759999999997,3.6287760000000002,2.689388,4.227551,3.6693879999999996,4.507551,3.1881630000000003,3.9475510000000003,2.649388,2.509388,3.188776,3.227551,2.1681630000000003,2.6681630000000003,4.086939,2.709388,2.8893880000000003,2.728776,2.148776,2.308776,3.349388,2.249388,2.848776,4.448163,3.069388,2.687551,2.489388,2.745714,2.469388,2.469388,2.588163,2.289388,2.669388,2.309388,2.589388,2.2475509999999996,3.109388,2.529388,2.8493880000000003,2.486939
6,3,2,3.224082,2.644082,3.784082,3.364082,2.664082,3.264082,2.564082,6.224082,3.8440819999999998,3.644082,3.664082,3.6981629999999996,3.464082,2.524082,2.3240819999999998,2.624082,3.044082,4.044082,3.198163,4.644082,4.164082,4.984082,3.7581629999999997,4.532245,3.004082,2.8240819999999998,3.804082,3.764082,2.604082,3.138163,4.5181629999999995,3.164082,3.3440819999999998,3.2981629999999997,2.564082,2.764082,3.904082,2.644082,3.204082,4.984082,3.504082,3.064082,2.944082,3.124082,2.864082,2.9581630000000003,2.984082,2.617041,3.004082,2.8240819999999998,3.024082,2.704082,3.544082,2.864082,3.3240819999999998,2.964082
7,4,0,3.582449,2.946224,4.067483,3.7424489999999997,2.9824490000000003,3.602449,2.876224,6.526224,4.162449,3.962449,3.982449,4.0424489999999995,3.902449,2.822449,2.642449,2.9624490000000003,3.3762239999999997,4.402449,3.542449,5.0024489999999995,4.482449,5.302449,4.162449,5.0424489999999995,3.2824489999999997,3.0762240000000003,4.122449,4.1362239999999995,2.9424490000000003,3.482449,4.902449,3.462449,3.7224489999999997,3.7224489999999997,2.936224,3.082449,4.302449,2.9624490000000003,3.4981120000000003,5.322449,3.7624489999999997,3.382449,3.262449,3.4362239999999997,3.1762240000000004,3.2824489999999997,3.2824489999999997,2.9024490000000003,3.3224489999999998,3.142449,3.3362239999999996,3.006224,3.862449,3.182449,3.6224489999999996,3.2824489999999997
8,4,1,3.8836730000000004,3.1836729999999998,4.323673,3.9836730000000005,3.2836730000000003,3.8436730000000003,3.083673,6.783672999999999,4.443673,4.223673000000001,4.283673,4.343673,4.163673,3.063673,2.883673,3.243673,3.603673,4.677347,3.8036730000000003,5.283673,4.743673,5.543673,4.423673,5.5236730000000005,3.476837,3.3236730000000003,4.443673,4.403673,3.2036729999999998,3.7836730000000003,5.183673000000001,3.7236730000000002,4.0236730000000005,3.9836730000000005,3.1836729999999998,3.3636730000000004,4.5636730000000005,3.2036729999999998,3.701224,5.5636730000000005,4.003673,3.643673,3.5436730000000005,3.683673,3.4236730000000004,3.5236730000000005,3.5436730000000005,3.123673,3.583673,3.4236730000000004,3.583673,3.263673,4.143673000000001,3.4436730000000004,3.8836730000000004,3.5636730000000005
9,4,2,4.213878,3.493878,4.713878,4.293878,3.6138779999999997,4.153878,3.433878,7.213878,4.793878,4.673878,4.793878,4.713878,4.473878,3.373878,3.1938779999999998,3.713878,4.053878,4.993878,4.193878,5.653878,5.173878,5.973878,4.893878,6.033878,3.773878,3.5738779999999997,4.9138779999999995,4.793878,3.6138779999999997,4.173878,5.593878,4.073878,4.353878,4.513878,3.5738779999999997,3.753878,5.013878,3.5938779999999997,3.993878,5.8738779999999995,4.313878,3.973878,3.873878,4.053878,3.773878,3.833878,3.913878,3.433878,3.893878,3.853878,3.893878,3.6938779999999998,4.433878,3.753878,4.273878,4.013878
