,measure_number,beat_number,pid1263b-10,pid52932-22,pid58917-04,pid610003b-14,pid9048b-14,pid9049b-10,pid9049b-25,pid9050b-10,pid9054b-10,pid9055b-10,pid9056-16,pid9057j-06,pid9058b-10,pid9059b-14,pid9060b-08,pid9061b-07,pid9062b-13,pid9063b-14,pid9066b-10,pid9069-10,pid9070b-22,pid9072b-14,pid9073b-14,pid9074g-10,pid9075b-10,pid9088-20,pid9089-05,pid9093b-16,pid9094b-10,pid9099b-14,pid9101c-04,pid9104b-10,pid9111b-12,pid9114-32,pid9118b-14,pid9138b-10,pid9139b-10,pid9153b-10,pid9166l-08,pid9170b-10,pid9174b-10,pid9192b-10
0,1,0,0.7751020000000001,0.755102,0.955102,2.455102,1.695102,1.335102,2.015102,0.595102,0.855102,0.855102,0.282551,0.195102,0.135102,0.295102,0.5151020000000001,0.835102,1.2351020000000001,2.272551,1.315102,0.5351020000000001,0.475102,0.432551,0.8951020000000001,1.615102,0.255102,0.485034,2.035102,1.035102,0.975102,0.355102,0.595102,0.5151020000000001,0.195102,0.615102,2.1151020000000003,0.512551,0.415102,0.6551020000000001,1.355102,0.45510200000000006,0.375102,0.560204
1,1,1,1.374694,1.294694,1.534694,2.934694,2.314694,1.914694,2.574694,1.066173,1.354694,1.494694,0.654694,0.7504270000000001,0.7146939999999999,0.8746940000000001,1.114694,1.4346940000000001,1.8346939999999998,2.834694,1.974694,1.354694,1.674694,0.9746940000000001,1.342347,2.1746939999999997,0.834694,0.9423469999999999,2.614694,1.514694,1.614694,0.9746940000000001,1.1746940000000001,1.094694,0.6946939999999999,1.244082,2.7146939999999997,1.074694,0.9946940000000001,1.254694,1.934694,1.234694,0.9746940000000001,1.164082
2,1,2,1.736735,1.5411219999999999,1.812245,3.172245,2.591122,2.192245,2.835561,1.3322450000000001,1.5411219999999999,1.772245,0.9322450000000001,0.8322450000000001,0.972245,1.151122,1.3922450000000002,1.912245,2.112245,3.092245,2.592245,1.652245,1.952245,1.212245,1.5922450000000001,2.452245,1.081122,1.212245,2.7522450000000003,1.792245,1.8922450000000002,1.252245,1.492245,1.452245,0.972245,1.552245,2.992245,1.3522450000000001,1.2611219999999999,1.552245,2.124606,1.512245,1.292245,1.492245
3,2,0,2.057959,1.757959,2.097959,3.4179589999999997,2.857959,2.417959,3.057959,1.597959,1.797959,2.037959,1.197959,1.0779590000000001,1.237959,1.397959,1.657959,2.197959,2.397959,3.477959,3.017959,2.057959,2.257959,1.497959,1.857959,2.737959,1.3379590000000001,1.497959,3.057959,2.057959,2.157959,1.537959,1.817959,1.737959,1.277959,1.817959,3.2979589999999996,1.637959,1.557959,1.817959,2.357959,1.8379590000000001,1.657959,1.817959
4,2,1,2.4195919999999997,2.139592,2.579592,3.7795919999999996,3.219592,2.759592,3.479592,1.9395919999999998,2.179592,2.4395919999999998,1.559592,1.439592,1.539592,1.818776,2.019592,2.679592,2.8795919999999997,3.8395919999999997,3.4395919999999998,2.599592,2.729184,1.7995919999999999,2.239592,3.179592,1.7595919999999998,1.7995919999999999,3.4195919999999997,2.3995919999999997,2.499592,2.019592,2.2995919999999996,2.169184,1.754796,2.079592,3.758776,1.9595919999999998,2.019592,2.139592,2.719592,2.3195919999999997,2.039592,2.2795919999999996
5,2,2,2.812857,2.471429,2.971429,4.151429,3.6114290000000002,3.1314290000000002,3.831429,2.331429,2.551429,2.891429,1.891429,1.8114290000000002,1.931429,2.271429,2.431429,3.071429,3.291429,4.211429,3.791429,3.091429,3.271429,2.1114290000000002,2.6314290000000002,3.511429,2.1314290000000002,2.172857,3.811429,2.771429,2.891429,2.412857,2.731429,2.591429,2.091429,2.350714,4.311429,2.291429,2.431429,2.511429,3.091429,2.791429,2.411429,2.6714290000000003
6,3,0,3.484082,2.827041,3.404082,4.528027,4.024082,3.50852,4.284082,2.688027,2.99352,3.464082,2.224082,2.284082,2.288027,2.784082,2.864082,3.524082,3.784082,4.644082,4.184082,3.664082,3.924082,2.468027,2.997041,3.884082,2.584082,2.607041,4.204082,3.104082,3.284082,2.944082,3.184082,3.024082,2.524082,2.644082,4.932245,2.664082,2.884082,2.784082,3.444082,3.3240819999999998,2.8240819999999998,3.124082
7,3,1,3.957551,3.177551,3.8775510000000004,4.9575510000000005,4.397551,3.97151,4.757551,3.1175509999999997,3.3175510000000004,3.957551,2.583776,2.737551,2.6575509999999998,3.2775510000000003,3.3375510000000004,3.957551,4.297551,5.077551000000001,4.857551,4.317551,4.437551,2.917551,3.397551,4.277551,3.0575509999999997,2.9975509999999996,4.677551,3.597551,3.699184,3.437551,3.7375510000000003,3.517551,2.937551,3.0175509999999997,5.4175510000000004,3.0175509999999997,3.3775510000000004,3.165364,3.8775510000000004,3.8175510000000004,3.2975510000000003,3.617551
8,3,2,4.215102,3.4351019999999997,4.155101999999999,5.175102,4.675102,4.135102,4.935102,3.3551019999999996,3.595102,4.255102,2.855102,2.935102,2.935102,3.595102,3.615102,4.215102,4.675102,5.435102,5.475102,4.795102,4.975102,3.195102,3.615102,4.615101999999999,3.3951019999999996,3.275102,4.955102,3.9351019999999997,4.115101999999999,3.7751019999999995,3.9951019999999997,3.8351019999999996,3.3151019999999995,3.235102,5.695101999999999,3.255102,3.675102,3.4351019999999997,4.155101999999999,4.155101999999999,3.595102,3.9151019999999996
9,4,0,4.500816,3.7208160000000006,4.440816000000001,5.480816,4.960816,4.400816000000001,5.220816,3.6408160000000005,3.9008160000000003,4.540816,3.140816,3.180816,3.220816,4.000816,3.9008160000000003,4.500816,5.1208160000000005,5.720816,6.100816,5.1608160000000005,5.360816000000001,3.4808160000000004,3.9008160000000003,4.900816000000001,3.6608160000000005,3.5408160000000004,5.300816,4.220816,4.400816000000001,4.060816,4.280816000000001,4.100816,3.6608160000000005,3.4408160000000003,5.980816,3.5208160000000004,4.020816,3.7208160000000006,4.440816000000001,4.500816,3.8808160000000003,4.2008160000000005
