,measure_number,beat_number,pid1263b-13,pid610003b-17,pid9048b-27,pid9049b-13,pid9050b-15,pid9054b-15,pid9055b-13,pid9058b-13,pid9059b-17,pid9060b-11,pid9061b-10,pid9062b-16,pid9063b-19,pid9066b-13,pid9069-13,pid9070b-25,pid9072b-17,pid9073b-19,pid9074g-13,pid9075b-13,pid9085-06,pid9094b-18,pid9097-03,pid9099b-19,pid9104b-13,pid9111b-15,pid9112-12,pid9118b-19,pid9137-20,pid9139b-15,pid9153b-15,pid9166e-16,pid9170b-15,pid9174b-13,pid9192b-15
0,1,0,0.7363270000000001,1.0731629999999999,1.656327,1.336327,0.641582,0.956327,0.936327,0.136327,0.296327,0.496327,1.216327,0.696327,2.516327,1.476327,0.47632700000000006,0.556327,1.036327,0.726582,1.876327,0.283163,0.6987760000000001,0.6363270000000001,0.796327,0.316327,0.576327,0.196327,0.936327,1.836327,0.7363270000000001,0.47632700000000006,0.777721,0.583163,0.523163,0.316327,1.096327
1,1,1,1.14449,1.42449,2.06449,1.74449,1.0044899999999999,1.30449,1.36449,0.50449,0.6644899999999999,0.86449,1.62449,1.04449,2.96449,2.2044900000000003,0.8408979999999999,0.96449,1.40449,1.077784,2.2844900000000004,0.62449,1.08449,0.98449,1.2244899999999999,0.72449,0.98449,0.58449,1.34449,2.2589799999999998,1.003449,0.8372450000000001,1.107245,0.90449,0.9244899999999999,0.8044899999999999,1.46449
2,1,2,1.576327,1.796327,2.456327,2.096327,1.383163,1.6763270000000001,1.9363270000000001,0.916327,1.056327,1.236327,2.016327,1.443163,3.396327,2.616327,1.1963270000000001,1.356327,1.756327,1.383163,2.676327,1.016327,1.496327,1.336327,1.636327,1.1963270000000001,1.356327,1.116327,1.633924,2.736327,1.305442,1.1963270000000001,1.326582,1.236327,1.316327,1.256327,1.896327
3,2,0,1.943673,2.1836729999999998,2.796837,2.443673,1.743673,1.976837,2.383673,1.254558,1.423673,1.523673,2.383673,1.843673,3.8036730000000003,2.983673,1.623673,1.8236729999999999,2.103673,1.743673,3.043673,1.3236729999999999,1.863673,1.843673,2.023673,1.663673,1.763673,1.5836729999999999,1.656837,3.143673,1.643673,1.536837,1.683673,1.5636729999999999,1.683673,1.5836729999999999,2.263673
4,2,1,2.379184,2.554592,3.159184,2.8145919999999998,2.119184,2.339184,2.759184,1.599184,1.7991840000000001,1.899184,2.759184,2.219184,4.179183999999999,3.4791839999999996,2.119184,2.219184,2.499184,2.119184,3.5191839999999996,1.6845919999999999,2.239184,2.539184,2.399184,2.139184,2.139184,1.999184,1.9245919999999999,3.6191839999999997,1.959184,1.899184,1.999184,1.939184,2.079184,1.999184,2.659184
5,2,2,2.779184,2.899184,3.5591839999999997,3.159184,2.459184,2.659184,3.239184,1.959184,2.113061,2.279184,3.159184,2.579184,4.608366999999999,3.9991839999999996,2.479184,2.628367,2.799184,2.459184,3.9991839999999996,1.999184,2.639184,2.859184,2.739184,2.579184,2.539184,2.4283669999999997,2.259184,4.048367,2.219184,2.299184,2.419184,2.339184,2.459184,2.419184,3.059184
6,3,0,3.137823,3.257823,3.8978230000000003,3.3578230000000002,2.8178229999999997,2.943912,3.5978230000000004,2.2739119999999997,2.433912,2.597823,3.5178230000000004,2.937823,4.977823,4.357823000000001,2.823912,3.037823,3.143912,2.8178229999999997,4.357823000000001,2.2739119999999997,2.957823,3.217823,3.077823,3.017823,2.897823,2.8178229999999997,2.491956,4.437823000000001,2.477823,2.603912,2.756956,2.517823,2.797823,2.737823,3.3778230000000002
7,3,1,3.557551,3.597551,4.257551,3.7175510000000003,3.177551,3.2975510000000003,3.957551,2.5975509999999997,2.777551,2.957551,3.8775510000000004,3.2975510000000003,5.377551,4.717551,3.177551,3.437551,3.557551,3.177551,4.717551,2.5775509999999997,3.3575510000000004,3.7775510000000003,3.437551,3.477551,3.2975510000000003,3.197551,2.797551,4.817551,2.817551,2.957551,3.0575509999999997,2.857551,3.197551,3.1375509999999998,3.7375510000000003
8,3,2,3.9412239999999996,3.9812239999999997,4.561224,4.041224,3.5412239999999997,3.661224,4.421224,2.961224,3.101224,3.301224,4.2612239999999995,3.681224,5.781224,5.101224,3.6212239999999998,3.841224,3.8556120000000003,3.5212239999999997,5.241224,2.861224,3.741224,4.101224,3.821224,3.9412239999999996,3.661224,3.6212239999999998,3.081224,5.221223999999999,3.041224,3.341224,3.4412239999999996,3.2412240000000003,3.5812239999999997,3.5212239999999997,4.121224
9,4,0,4.308571,4.328571,4.868571,4.228571,3.8692860000000002,3.928571,4.788571,3.268571,3.3885709999999998,3.589286,4.628571,4.048571,6.148571,5.468571,3.988571,4.208571,4.188571,3.8485709999999997,5.548571,3.129286,4.088571,4.388571,4.208571,4.408571,4.028571,3.988571,3.3485709999999997,5.628571,3.288571,3.668571,3.748571,3.488571,3.908571,3.768571,4.468571
