,measure_number,beat_number,pid1263b-14,pid5667269b-31,pid9048b-30,pid9050b-16,pid9054b-16,pid9055b-14,pid9058b-14,pid9059b-18,pid9060b-12,pid9062b-17,pid9063b-20,pid9066b-14,pid9069-14,pid9072b-18,pid9073b-20,pid9075b-14,pid9085-07,pid9094b-19,pid9097-22,pid9098-17,pid9099b-20,pid9104b-14,pid9112-13,pid9118b-20,pid9139b-16,pid9153b-16,pid9166l-16,pid9170b-16,pid9173-05,pid9174b-14,pid9192b-16
0,1,2,0.7090310000000001,2.209031,1.6861220000000001,0.46612200000000004,1.022245,0.7944899999999999,0.10612200000000001,0.286122,0.486122,0.666122,1.586122,1.7061220000000001,0.346122,1.066122,1.3661219999999998,0.286122,0.666122,0.9261219999999999,0.726122,0.409354,0.306122,0.562245,0.686122,1.9861220000000002,0.346122,0.649224,1.4944899999999999,0.446122,0.26870700000000003,0.286122,0.5061220000000001
1,2,0,1.272619,2.710982,2.2552380000000003,0.9057139999999999,1.805714,1.705714,1.165714,0.985714,1.145714,1.1542860000000001,2.605714,2.188571,0.985714,1.6078569999999999,1.807857,0.9457139999999999,1.425714,1.8657139999999999,1.6257139999999999,1.205714,0.9257139999999999,1.405714,1.265714,3.125714,0.9257139999999999,1.6257139999999999,2.305714,1.225714,0.832619,1.045714,1.0857139999999998
2,2,1,2.251429,3.477143,3.391429,1.417143,2.637143,2.317143,2.137143,1.597143,1.637143,1.937143,3.697143,2.777143,2.037143,2.357143,2.317143,1.477143,2.277143,2.8971430000000002,2.477143,2.077143,1.737143,2.157143,1.9971430000000001,4.277143,1.637143,2.637143,2.984286,2.077143,1.697143,1.737143,2.057143
3,2,2,2.873061,4.093061,4.013061,1.853061,3.473061,2.8330610000000003,2.693061,2.213061,2.413061,2.353061,4.293061,3.373061,2.8130610000000003,2.853061,2.8130610000000003,1.973061,2.893061,3.413061,3.253061,2.8130610000000003,2.273061,2.753061,2.513061,5.113061,2.213061,3.493061,3.573061,2.693061,2.373061,2.3130610000000003,2.653061
4,3,0,3.6783669999999997,4.578367,4.638367,2.278367,3.958367,3.438367,3.318367,2.7383669999999998,2.878367,2.838367,5.058367,3.778367,3.438367,3.398367,3.1783669999999997,2.458367,3.398367,3.998367,3.978367,3.458367,2.758367,3.2383669999999998,2.938367,5.678367,2.7383669999999998,4.138367,4.058367,3.1983669999999997,2.918367,2.818367,3.1183669999999997
5,3,1,4.30449,5.10449,5.28449,2.7644900000000003,4.38449,4.08449,4.0044900000000005,3.30449,3.453469,3.2244900000000003,5.84449,4.22449,3.88449,3.88449,3.6844900000000003,3.00449,3.92449,4.60449,4.58449,3.98449,3.36449,4.0044900000000005,3.52449,6.66449,3.30449,4.80449,4.60449,3.7244900000000003,3.50449,3.48449,3.62449
6,3,2,4.777959,5.6379589999999995,6.117959,3.257959,4.837959,4.557958999999999,4.437958999999999,3.8179589999999997,3.9179589999999997,3.6779589999999995,6.457959,4.877959,4.6779589999999995,4.377959,4.157959,3.4379589999999998,4.557958999999999,5.257959,5.717959,4.477958999999999,3.8579589999999997,4.457959,4.017958999999999,7.157959,3.7779589999999996,5.577959,5.077959,4.357958999999999,3.977959,3.957959,4.0979589999999995
7,4,0,5.246939,6.066939,6.606939,3.626939,5.166939,5.046939,4.926939,4.266939,4.306939,4.106939,7.146939,5.326939,5.186939,4.846939,4.566939,3.8184690000000003,4.998469,5.746939,6.226939,4.9469389999999995,4.266939,4.966939,4.426939,7.626939,4.286939,6.086939,5.568469,4.798469,4.386939,4.306939,4.546939
8,4,1,5.64,6.5,7.22,4.06,5.52,5.48,5.44,4.74,4.7,4.5,7.6,5.98,5.84,5.38,4.96,4.26,5.56,6.26,6.945,5.58,4.715,5.38,4.9,8.36,4.8,6.5,5.98,5.36,4.7,4.64,5.2
9,4,2,6.144626000000001,7.184626,7.784625999999999,4.504626,6.124626,5.964626,6.0246260000000005,5.344626,5.384626,4.954875,8.164626,6.604626,6.464626,5.904626,5.404626,4.804626,6.364626,6.764626,7.8646259999999995,6.184626000000001,5.264626,5.884626,5.364626,9.284626,5.364626,6.984626,6.564626,6.144626000000001,5.244626,5.204626,5.804626
