,measure_number,beat_number,pid1263b-16,pid5667250b-05,pid5667269b-33,pid9048b-29,pid9050b-18,pid9054b-18,pid9055b-16,pid9058b-16,pid9059b-20,pid9061b-13,pid9062b-19,pid9063b-22,pid9066b-16,pid9068-22,pid9069-16,pid9072b-20,pid9074g-16,pid9075b-16,pid9085-09,pid9085-17,pid9086-12,pid9094b-21,pid9097-25,pid9099b-22,pid9103-22,pid9104b-16,pid9114-26,pid9116-05,pid9118b-22,pid9124-16,pid9127-01,pid9130-12,pid9139b-18,pid9153b-18,pid9166l-15,pid9170b-18,pid9173-02,pid9174b-16,pid9185-06,pid918812-16,pid918904-13,pid9192b-18
0,1,2,0.708,1.56,2.04,1.68,0.608,1.16,1.0,0.165,0.28,1.3,0.6,1.72,1.58,0.06666699999999999,0.5,0.94,1.38,0.26,0.568,0.810769,0.59375,1.02,1.015,0.3,0.4,0.425,0.71,1.2,2.26,0.52,0.38,1.12,0.34,0.56,1.78,0.568,0.24,0.2675,0.44,0.5,0.58,0.508
1,2,0,1.667937,2.0879369999999997,2.947937,2.527937,1.207937,1.9679369999999998,2.047937,1.0879370000000002,0.767937,2.1279369999999997,1.407937,2.787937,2.547937,1.0879370000000002,1.387937,1.7079369999999998,1.9279369999999998,0.827937,1.3079370000000001,1.507937,1.207937,2.0679369999999997,2.047937,0.9079370000000001,1.287937,1.267937,1.3279370000000001,2.367937,3.2879370000000003,1.5479370000000001,1.507937,2.1479369999999998,0.967937,1.487937,2.787937,1.3279370000000001,1.007937,0.727937,1.0879370000000002,1.527937,1.5479370000000001,1.3679370000000002
2,2,1,2.635918,2.515918,3.48074,3.235918,1.955918,2.935918,2.795918,1.995918,1.515918,2.875918,2.015918,3.575918,3.455918,2.035918,2.135918,2.455918,2.635918,1.382959,1.915918,2.035918,1.68324,2.895918,2.815918,1.515918,1.6814799999999999,2.1759180000000002,2.095918,3.115918,4.315918,2.555918,2.255918,3.015918,1.515918,2.075918,3.535918,1.915918,1.755918,1.22074,1.5262959999999999,2.535918,1.975918,1.875918
3,2,2,3.013061,2.842883,3.861531,3.693061,2.471531,3.573061,3.253061,2.431531,1.9330610000000001,3.251531,2.378612,4.113061,3.953061,2.573061,2.8130610000000003,2.65102,2.938612,1.733061,2.233061,2.453061,2.0915310000000003,3.433061,3.713061,1.9530610000000002,2.050765,2.8330610000000003,2.473061,3.653061,4.713061,3.013061,2.753061,3.573061,1.993061,2.593061,3.853061,2.233061,2.233061,1.503673,1.813061,2.973061,2.373061,2.330765
4,3,0,3.553878,3.233878,4.3338779999999995,4.253878,2.913878,4.033878,3.6938779999999998,2.873878,2.413878,3.6738779999999998,2.853878,4.653878,4.933878,2.953878,3.333878,3.1538779999999997,3.333878,2.1738779999999998,2.773878,2.857959,2.513878,4.3738779999999995,4.233878,2.453878,2.413878,3.313878,3.053878,4.171939,5.133878,3.553878,3.413878,4.233878,2.393878,3.1738779999999998,4.4138779999999995,2.773878,2.793878,1.853878,2.211939,3.533878,2.7919389999999997,2.713878
5,3,1,3.9169389999999997,3.5167349999999997,4.676735,4.663469,3.236735,4.376735,4.036735,3.196735,2.796735,4.016735,3.176735,5.016735,5.336735,3.336735,3.856735,3.4834690000000004,3.656735,2.4967349999999997,3.156735,3.1834689999999997,2.816735,4.876735,4.676735,2.816735,2.770204,3.656735,3.396735,4.436735,5.523469,3.9967349999999997,3.816735,4.710204,2.736735,3.5167349999999997,4.936735,3.156735,3.136735,2.176735,2.523469,3.9567349999999997,3.0567349999999998,3.0767349999999998
6,3,2,4.526530999999999,4.006531,5.166531,5.166531,3.9265309999999998,4.886531,4.526530999999999,3.606531,3.3065309999999997,4.546531,3.666531,5.586531,5.826531,3.9065309999999998,4.426531,4.026530999999999,4.086531,2.954133,3.606531,3.7665309999999996,3.3865309999999997,5.586531,5.406531,3.2865309999999996,3.526531,4.1065309999999995,4.006531,4.788265,6.026530999999999,4.6465309999999995,4.526530999999999,5.546531,3.166531,3.966531,5.486530999999999,3.626531,3.666531,2.686531,3.0665310000000003,4.626531,3.586531,3.666531
7,4,0,5.430612,4.370612,5.650612000000001,5.810612,4.4506120000000005,5.4906120000000005,5.130612,4.0306120000000005,3.7706120000000003,5.010612,4.190612000000001,6.190612000000001,6.350612,4.550612,4.850612,4.670612,4.610612000000001,3.2906120000000003,3.990612,4.190612000000001,3.7706120000000003,6.190612000000001,6.090612,3.8506120000000004,4.190612000000001,4.570612000000001,4.430612,5.310612,6.510612,5.550612,5.070612000000001,6.111224,3.590612,4.4506120000000005,6.0306120000000005,3.990612,4.350612,3.010612,3.650612,5.510612,4.050612,4.190612000000001
8,4,1,6.011837,4.751837,6.1918370000000005,6.411837,4.980918,6.131837,5.791837,4.5306120000000005,4.2318370000000005,5.516184,4.631837,6.931837,7.0318369999999994,5.171837,5.511837,5.211837,5.170458999999999,3.6918370000000005,4.351837000000001,4.7318370000000005,4.171837,6.751836999999999,7.131836999999999,4.371837,4.7718370000000006,5.2318370000000005,5.033803,5.931837000000001,7.131836999999999,6.5718369999999995,5.891837000000001,6.931837,4.111837,5.011837,6.531837,4.351837000000001,5.051837,3.4118370000000002,4.111837,6.531837,4.451837,4.651837
9,4,2,6.391837000000001,5.0354589999999995,6.551837,6.811837,5.2718370000000006,6.437279,6.1918370000000005,4.7318370000000005,4.531837,5.62576,4.930918,7.214367,7.417279,5.631837,5.991837,5.471837,5.511837,3.953639,4.631837,4.931837000000001,4.3769730000000004,7.231837,7.511837,4.671837,5.051837,5.751837,5.1918370000000005,6.2718370000000006,7.5718369999999995,6.971837,6.2718370000000006,7.311837,4.451837,5.291837,6.951836999999999,4.651837,5.471837,3.7516800000000003,4.371837,6.951836999999999,4.7718370000000006,4.971837
