,measure_number,beat_number,pid1263b-19,pid5667285b-10,pid9048b-22,pid9049b-19,pid9050b-21,pid9054b-21,pid9055b-19,pid9058b-19,pid9059b-23,pid9060b-17,pid9061b-16,pid9062b-22,pid9063b-25,pid9064-02,pid9066b-19,pid9067-27,pid9069-19,pid9070b-31,pid9072b-23,pid9074g-19,pid9075b-19,pid9088-25,pid9090-26,pid9094b-27,pid9097-15,pid9098-07,pid9099b-25,pid9100b-08,pid9104b-19,pid9111b-21,pid9112-11,pid9114-34,pid9118b-25,pid9137-22,pid9139b-21,pid9153b-21,pid9166b-09,pid9170b-21,pid9172-12,pid9174b-19,pid9190-11,pid9192b-21
0,1,0,0.72,0.86,1.7,1.48,0.64,1.02,0.94,0.08,0.32,0.48,1.4,0.66,1.8,0.46,1.92,0.62,0.42,0.52,0.62,1.7,0.26,0.36,1.64,1.06,1.0,0.46,0.34,1.24,0.64,0.175,0.74,0.6,2.08,0.74,0.54,0.6,0.86,0.44,0.18,0.34,0.76,0.52
1,1,1,1.520499,1.335249,2.180499,2.040499,1.100499,1.400499,1.420499,0.42049899999999996,0.720499,1.060499,2.020499,1.280499,2.3804990000000004,1.060499,2.7804990000000003,1.140499,0.840499,0.920499,1.000499,2.200499,0.600499,1.020499,2.3004990000000003,1.560499,1.620499,1.100499,0.740499,1.820499,1.220499,0.660499,1.140499,1.020499,2.7204990000000002,1.3204989999999999,0.960499,1.000499,1.3404989999999999,0.940499,0.6404989999999999,0.860499,1.200499,1.040499
2,1,2,2.146168,1.7061680000000001,2.606168,2.528084,1.6861680000000001,1.898084,1.926168,0.866168,1.166168,1.786168,2.546168,1.826168,3.046168,1.726168,3.746168,1.526168,1.406168,1.406168,1.506168,2.606168,1.026168,1.566168,2.766168,2.046168,2.306168,1.606168,1.246168,2.366168,1.766168,1.166168,1.586168,1.4461680000000001,3.306168,2.026168,1.438084,1.506168,1.906168,1.486168,0.926168,1.4661680000000001,1.626168,1.526168
3,2,0,2.8039,2.1239,3.1039,2.8439,2.2239,2.3439,2.3439,1.2639,1.5639,2.2639,3.0839,2.4039,3.6778,2.1839,4.9178,1.9839,1.8239,1.8639,1.9639,3.0639,1.3839,2.1239,3.3239,2.4639,2.9439,2.1239,1.7239,2.7639,2.2639,1.6439,1.9839,1.8839,3.9378,2.7039,1.8639,1.9639,2.5239,1.9639,1.2639,1.9039,2.0039,1.9439
4,2,1,3.5981410000000005,2.638141,3.6581410000000005,3.4181410000000003,2.7981409999999998,2.838141,2.898141,1.638141,2.078141,2.758141,3.8381410000000002,2.978141,4.298141,3.018141,5.878141,2.518141,2.318141,2.318141,2.458141,3.5781410000000005,1.838141,2.778141,3.8981410000000003,2.978141,3.6581410000000005,2.718141,2.2981409999999998,3.258141,2.838141,2.318141,2.478141,2.278141,4.718141,3.4581410000000004,2.278141,2.498141,3.198141,2.618141,1.658141,2.318141,2.458141,2.458141
5,2,2,4.490883999999999,3.150884,4.170884,3.7280879999999996,3.3108839999999997,3.221555,3.5108839999999994,2.039299,2.590884,3.270884,4.390884,3.5908839999999995,5.010884,3.5308839999999995,6.770884,3.030884,2.830884,2.830884,2.790884,4.090884,2.243432,3.6908839999999996,4.430884,3.430884,4.170884,3.250884,2.810884,3.7508839999999997,3.3508839999999998,2.850884,2.790884,2.790884,5.230884,3.970884,2.790884,2.990884,3.7108839999999996,3.130884,2.170052,2.830884,2.8908840000000002,2.910884
6,3,0,5.089637000000001,3.659819,4.779819,4.219819,3.8198190000000003,3.679819,4.019819,2.399819,3.1198189999999997,3.8598190000000003,5.179819,4.099819,5.739819000000001,4.259819,8.099819,3.4198190000000004,3.2666060000000003,3.2198189999999998,3.2798190000000003,4.699819000000001,2.579819,4.199819000000001,5.059819,3.9398190000000004,4.939819,3.7798190000000003,3.2998190000000003,4.259819,3.8598190000000003,3.3798190000000004,3.2998190000000003,3.2798190000000003,6.179819,4.869637,3.074909,3.4598190000000004,4.299819,3.7998190000000003,2.359819,3.1398189999999997,3.2798190000000003,3.2998190000000003
7,3,1,5.893878,4.111293,5.353878,4.753878,4.433878,4.253878,4.533878,2.773878,3.5738779999999997,4.633878,5.813878,4.729388,6.38551,4.853878,9.033878,3.933878,3.733878,3.733878,3.753878,5.253878,2.993878,4.853878,5.613878,4.353878,5.661633,4.3338779999999995,3.753878,4.791939,4.473878,3.931939,3.805969,3.713878,6.853878,5.553878,3.493878,3.913878,4.9138779999999995,4.313878,2.7979849999999997,3.553878,3.6938779999999998,3.753878
8,3,2,6.400023,4.505011,5.705011,5.125011,4.845011,4.565011,4.905011,3.1450110000000002,3.945011,5.205011,6.325011,5.345011,6.965011,5.285011,9.885011,4.345011,4.205011,4.065011,4.185011,5.585011,3.305011,5.325011,6.085011,4.685011,6.255033999999999,4.825011,4.145011,5.225011,4.945011,4.245011,4.105011,4.185011,7.345011,6.205011,3.905011,4.345011,5.4200230000000005,4.765011,3.045011,4.025011,4.045011,4.165011
9,4,0,7.0781410000000005,4.878141,6.198141000000001,5.418141,5.386280999999999,4.998141,5.358141000000001,3.5181410000000004,4.318141000000001,5.718141,6.826281,5.978141,7.558141,5.698141000000001,10.878141000000001,4.778141000000001,4.698141000000001,4.518141,4.6181410000000005,6.038141,3.6781410000000005,5.818141000000001,6.598141,5.038141,6.866281,5.278141000000001,4.646281,5.60407,5.438141000000001,4.726281,4.518141,4.598141,8.058141,6.978141,4.298141,4.818141000000001,6.038141,5.198141000000001,3.3981410000000003,4.438141000000001,4.418141,4.538141
