M_ID,PR_M,N_M,Dist_PR,Dist_N,Annot_PR,Annot_N,Annot_M,EN,M
M06-1,None,p,None,37,None,Crescendo,None,,p
M06-1,p,pp,37,9,Crescendo,Diminuendo,Diminuendo,,p
M06-1,p,p,9,2,Crescendo,None,None,,pp
M06-1,pp,p,2,37,None,Crescendo,None,,p
M06-1,p,pp,37,9,Crescendo,Diminuendo,Diminuendo,,p
M06-1,p,ff,9,3,Crescendo,None,None,,pp
M06-1,pp,f,3,24,None,Crescendo,a tempo,,ff
M06-1,ff,p,24,36,Diminuendo,Crescendo,a tempo,,f
M06-1,f,pp,36,9,Crescendo,Diminuendo,Diminuendo,,p
M06-1,p,ff,9,3,Crescendo,None,None,,pp
M06-1,pp,f,3,24,None,Crescendo,None,,ff
M06-1,ff,p,24,36,rall.,Crescendo,a tempo,,f
M06-1,f,pp,36,9,Crescendo,Diminuendo,Diminuendo,,p
M06-1,p,f,9,2,Crescendo,None,None,,pp
M06-1,pp,p,2,49,None,scherzando,None,,f
M06-1,f,p,49,36,rit.,Crescendo,a tempo,,p
M06-1,p,pp,36,9,Crescendo,Diminuendo,Diminuendo,,p
M06-1,p,None,9,None,Crescendo,None,None,,pp
M06-2,None,p,None,24,None,None,sotto voce,,p
M06-2,p,f,24,17,None,Crescendo,None,,p
M06-2,p,p,17,7,Crescendo,con forza,None,,f
M06-2,f,f,7,17,con forza,Crescendo,None,,p
M06-2,p,f,17,43,Crescendo,con forza,None,,f
M06-2,f,f,43,48,a tempo,leggiero,None,,f
M06-2,f,p,48,11,a tempo,con forza,None,,f
M06-2,f,p,11,13,con forza,Crescendo,Gajo,,p
M06-2,p,f,13,12,Crescendo,sf,None,,p
M06-2,p,p,12,48,sf,Diminuendo,None,,f
M06-2,f,p,48,23,sotto voce,con forza,None,,p
M06-2,p,f,23,13,con forza,rubato,None,,p
M06-2,p,None,13,None,rubato,con forza,None,,f
M06-3,None,f,None,24,None,None,None,,p
M06-3,p,p,24,24,None,Crescendo,None,,f
M06-3,f,f,24,12,Crescendo,None,None,,p
M06-3,p,p,12,24,None,Crescendo,None,,f
M06-3,f,ff,24,12,Crescendo,None,None,,p
M06-3,p,p,12,6,None,None,None,,ff
M06-3,ff,ff,6,6,None,None,None,,p
M06-3,p,p,6,6,None,None,None,,ff
M06-3,ff,ff,6,6,None,None,None,,p
M06-3,p,p,6,6,None,None,None,,ff
M06-3,ff,ff,6,6,None,None,None,,p
M06-3,p,p,6,6,None,None,None,,ff
M06-3,ff,p,6,6,None,None,None,,p
M06-3,p,f,6,17,None,Diminuendo,None,,p
M06-3,p,p,17,30,Crescendo,Diminuendo,None,,f
M06-3,f,p,30,25,Crescendo,Crescendo,None,,p
M06-3,p,f,25,12,Crescendo,None,None,,p
M06-3,p,p,12,24,None,Crescendo,None,,f
M06-3,f,f,24,12,Crescendo,None,None,,p
M06-3,p,p,12,18,None,Crescendo,None,,f
M06-3,f,pp,18,9,Crescendo,Crescendo,None,,p
M06-3,p,None,9,None,Crescendo,None,None,,pp
M07-1,None,ff,None,6,None,Crescendo,None,,f
M07-1,f,p,6,3,Crescendo,sf,None,,ff
M07-1,ff,f,3,33,Diminuendo,Crescendo,scherzando,,p
M07-1,p,p,33,30,Crescendo,sf,None,,f
M07-1,f,f,30,24,Crescendo,Crescendo,None,,p
M07-1,p,p,24,36,a tempo,sf,None,,f
M07-1,f,f,36,24,Crescendo,Crescendo,None,,p
M07-1,p,pp,24,36,a tempo,sf,None,,f
M07-1,f,f,36,24,Crescendo,Crescendo,sotto voce,,pp
M07-1,pp,f,24,33,rall.,Crescendo,a tempo,,f
M07-1,f,pp,33,3,Crescendo,None,None,,f
M07-1,f,f,3,24,None,Crescendo,sotto voce,,pp
M07-1,pp,None,24,None,rall.,Crescendo,a tempo,,f
M07-2,None,f,None,19,None,Crescendo,None,,p
M07-2,p,p,19,5,Crescendo,Crescendo,stretto,,f
M07-2,f,p,5,24,Crescendo,Crescendo,None,,p
M07-2,p,f,24,19,a tempo,Crescendo,None,,p
M07-2,p,p,19,5,Crescendo,Crescendo,stretto,,f
M07-2,f,p,5,24,Crescendo,Crescendo,None,,p
M07-2,p,p,24,48,a tempo,Crescendo,None,,p
M07-2,p,f,48,73,a tempo,Crescendo,None,,p
M07-2,p,f,73,48,Crescendo,sf,None,,f
M07-2,f,p,48,47,Crescendo,sf,None,,f
