Mazurka,Audio ID,Pianist,Year
M06-1,pid9068-01,Falvay,1989
M06-2,pid9170-02,Sztompka,1959
M06-3,pid9139-03,Ezaki,2006
M06-4,pid9101-04,Osinska,1989
M07-1,pid9139-05,Ezaki,2006
M07-2,pid9059-06,Barbosa,1983
M07-3,pid9139-07,Ezaki,2006
M17-1,pid5667267b-07,Magaloff,1977
M17-2,pid9054-11,Smith,1975
M17-3,pid9048-12,Chiu,1999
M17-4,pid9068-08,Falvay,1989
M24-1,pid9105-14,Cohen,1997
M24-2,pid9062-15,Biret,1990
M24-3,pid9059-16,Rubinstein,1966
M24-4,pid9063-17,Fliere,1977
M30-1,pid9050-18,Indjic,1988
M30-2,pid9101b-01,Osinska,1989
M30-3,pid9139-20,Ezaki,2006
M30-4,pid9075-21,Rubinstein,1952
M33-1,pid9065-17,Fiorentino,1963
M33-2,pid9138-23,Magin,1975
M33-3,pid9166g-03,Bacha,1999
M33-4,pid9067-24,Clidat,1994
M41-1,pid9066-26,Cortot,1951
M41-2,pid9116-13,Gornostaeva,1994
M41-3,pid9063b-03,Fliere,1977
M41-4,pid9074f-28,Magaloff,1977
M50-1,pid9075b-01,Rubinstein,1952
M50-2,pid9059b-06,Rubinstein,1966
M50-3,pid9048b-07,Chiu,1999
M56-1,pid9059b-08,Rubinstein,1966
M56-2,pid9056-06,Kissin,1993
M56-3,pid9063b-10,Fliere,1977
M59-1,pid9059b-11,Rubinstein,1966
M59-2,pid610003b-12,Hatto,1993
M59-3,pid9166l-03,Bacha,2000
M63-1,pid58917-04,Anderszewski,2003
M63-2,pid9048b-15,Chiu,1999
M63-3,pid9063b-16,Fliere,1977
M67-1,pid9061b-10,Uninsky,1971
M67-2,pid9192b-16,Czerny-Stefanska,1990
M67-3,pid9104b-15,Mohovich,1999
M67-4,pid9055b-16,Luisada,1991
M68-1,pid9063b-23,Fliere,1977
M68-2,pid9121-08,Gierzod,1998
M68-3,pid9104b-19,Mohovich,1999
